"","zbin","vai","plot"
"1",0,0,"ISEp4t3_output_hit_matrix.csv"
"2",1,0.000141980037849093,"ISEp4t3_output_hit_matrix.csv"
"3",2,0.109984546059976,"ISEp4t3_output_hit_matrix.csv"
"4",3,0.273075000756104,"ISEp4t3_output_hit_matrix.csv"
"5",4,0.304798217418865,"ISEp4t3_output_hit_matrix.csv"
"6",5,0.295057961668241,"ISEp4t3_output_hit_matrix.csv"
"7",6,0.698366080641854,"ISEp4t3_output_hit_matrix.csv"
"8",7,0.492869568112116,"ISEp4t3_output_hit_matrix.csv"
"9",8,0.415083833530415,"ISEp4t3_output_hit_matrix.csv"
"10",9,0.842132362393271,"ISEp4t3_output_hit_matrix.csv"
"11",10,1.19162762317536,"ISEp4t3_output_hit_matrix.csv"
"12",11,0.5839755385787,"ISEp4t3_output_hit_matrix.csv"
"13",12,0.445584286292531,"ISEp4t3_output_hit_matrix.csv"
"14",13,0.456922597928357,"ISEp4t3_output_hit_matrix.csv"
"15",14,0.142746927184924,"ISEp4t3_output_hit_matrix.csv"
"16",15,0,"ISEp4t3_output_hit_matrix.csv"
"17",16,0,"ISEp4t3_output_hit_matrix.csv"
"18",17,0,"ISEp4t3_output_hit_matrix.csv"
"19",18,0.0463744175513849,"ISEp4t3_output_hit_matrix.csv"
"20",19,0.499116819723963,"ISEp4t3_output_hit_matrix.csv"
"21",20,0.108214083387046,"ISEp4t3_output_hit_matrix.csv"
"22",21,0.0792904214502109,"ISEp4t3_output_hit_matrix.csv"
"23",22,0.000380858682766642,"ISEp4t3_output_hit_matrix.csv"
"24",23,0.00152343473106657,"ISEp4t3_output_hit_matrix.csv"
