"","zbin","vai","plot"
"1",0,0,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"2",1,0.0150401892750526,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"3",2,0.470273496488244,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"4",3,0.932283121474262,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"5",4,0.395304756349968,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"6",5,0.336884942776629,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"7",6,0.201192907055213,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"8",7,0.171812393016526,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"9",8,0.135529945239839,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"10",9,0.33324841017898,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"11",10,0.162230852153898,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"12",11,0.0140287832807116,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"13",12,0.149224661640817,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"14",13,0.00514385302553433,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"15",14,0.0025633876459806,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"16",15,0.0183709084777875,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"17",16,0.0154262259862566,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"18",17,0.00451447529877244,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"19",18,0.0373598833187683,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"20",19,0.0295582280833414,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"21",20,0.121090647402949,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"22",21,0.219075049336367,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"23",22,0.105767081013677,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"24",23,0.00670968436276043,"HBISE_2016_p5_t2_output_hit_matrix.csv"
"25",24,0.0058021512269529,"HBISE_2016_p5_t2_output_hit_matrix.csv"
