"","zbin","vai","plot"
"1",0,0,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"2",1,0.0470302928660073,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"3",2,0.422237439068425,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"4",3,0.678574336418954,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"5",4,0.789836660689024,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"6",5,1.44527423777549,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"7",6,0.657828288752105,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"8",7,0.349837957507964,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"9",8,0.455869579958799,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"10",9,0.116315500775629,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"11",10,0.185970007364433,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"12",11,0.0552158347901013,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"13",12,0.13383910530031,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"14",13,0.0960098217199217,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"15",14,0.13475663847612,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"16",15,0.15834303016348,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"17",16,0.196666625468805,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"18",17,0.0980102187213997,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"19",18,0.133802290095286,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"20",19,0.0676873140742094,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"21",20,0.154405307118935,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"22",21,0.0845125903119986,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"23",22,0.0394736595927387,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"24",23,0.0496105737133003,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"25",24,0.0790434582502941,"hbefise_2017_p5_t5_output_hit_matrix.csv"
"26",25,0.0633389148875831,"hbefise_2017_p5_t5_output_hit_matrix.csv"
