"","zbin","vai","plot"
"1",0,0,"ISEp3t2_output_hit_matrix.csv"
"2",1,0.0272536462015281,"ISEp3t2_output_hit_matrix.csv"
"3",2,0.737396595022629,"ISEp3t2_output_hit_matrix.csv"
"4",3,0.258476028435344,"ISEp3t2_output_hit_matrix.csv"
"5",4,0.354221491961336,"ISEp3t2_output_hit_matrix.csv"
"6",5,0.997684253235331,"ISEp3t2_output_hit_matrix.csv"
"7",6,0.647506288402197,"ISEp3t2_output_hit_matrix.csv"
"8",7,0.574960269456577,"ISEp3t2_output_hit_matrix.csv"
"9",8,1.14635984368357,"ISEp3t2_output_hit_matrix.csv"
"10",9,0.943140611962752,"ISEp3t2_output_hit_matrix.csv"
"11",10,0.826385508518995,"ISEp3t2_output_hit_matrix.csv"
"12",11,0.682738486690749,"ISEp3t2_output_hit_matrix.csv"
"13",12,0.0461545414882231,"ISEp3t2_output_hit_matrix.csv"
"14",13,0.05687525447168,"ISEp3t2_output_hit_matrix.csv"
"15",14,0.0057071541551689,"ISEp3t2_output_hit_matrix.csv"
"16",15,0,"ISEp3t2_output_hit_matrix.csv"
"17",16,0,"ISEp3t2_output_hit_matrix.csv"
"18",17,0.0127900812625767,"ISEp3t2_output_hit_matrix.csv"
"19",18,0.151442709432352,"ISEp3t2_output_hit_matrix.csv"
"20",19,0.0446428475164039,"ISEp3t2_output_hit_matrix.csv"
