"","zbin","vai","plot"
"1",0,0,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"2",1,0.0150474598294275,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"3",2,0.233495008827101,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"4",3,0.407660016717317,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"5",4,0.423202541372238,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"6",5,0.363807414110377,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"7",6,0.536652421868439,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"8",7,0.0866177042594228,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"9",8,0.393173316599372,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"10",9,0.297776715071836,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"11",10,0.380750996196251,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"12",11,0.118331648281009,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"13",12,0.0586147138252399,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"14",13,0.18523804884797,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"15",14,0.150986355312091,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"16",15,0.0560358962567687,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"17",16,0.0702526929890993,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"18",17,0.0890888352754825,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"19",18,0.0297104913418245,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"20",19,0.0900146290148866,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"21",20,0.0379987473485187,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"22",21,0.0781352768271666,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"23",22,0.0965472094664358,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"24",23,0.0717065956164793,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"25",24,0.062558256582743,"HBISE_2016_p9_t4_output_hit_matrix.csv"
"26",25,0.0348278180775807,"HBISE_2016_p9_t4_output_hit_matrix.csv"
