"","zbin","vai","plot"
"1",0,0,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"2",1,0.0099609779184559,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"3",2,0.48627127285285,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"4",3,0.55778807843365,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"5",4,0.50240695454052,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"6",5,0.399163457226573,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"7",6,0.125676867603531,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"8",7,0.604185293461351,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"9",8,0.708949050852218,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"10",9,0.253102341946492,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"11",10,0.342462739592251,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"12",11,0.529799203715517,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"13",12,0.548030651060438,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"14",13,0.323454785066681,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"15",14,0.239372278080447,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"16",15,0.495093080162946,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"17",16,0.202869758656719,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"18",17,0.345995657307507,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"19",18,0.303672734208336,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"20",19,0.255579133344473,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"21",20,0.192354411431903,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"22",21,0.0394550865707558,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"23",22,0.00230256692324243,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
"24",23,0.00230256692324243,"hbef_ise_2017_p9_t1_output_hit_matrix.csv"
