"","zbin","vai","plot"
"1",0,0,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"2",1,0.0302669180119128,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"3",2,0.523921188792285,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"4",3,0.326008383997954,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"5",4,0.520061604587536,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"6",5,0.665562244435694,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"7",6,0.734903994728294,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"8",7,0.445426787482673,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"9",8,0.661863068770337,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"10",9,0.565723899420979,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"11",10,0.384873513783273,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"12",11,0.0922702295158124,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"13",12,0.10277332109232,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"14",13,0.0774282376374582,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"15",14,0.209565062914309,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"16",15,0.151316153952955,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"17",16,0.194264304187671,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"18",17,0.20750822461822,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"19",18,0.0625599814076292,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"20",19,0.0681372235951604,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"21",20,0.051092920021822,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"22",21,0.0755609340554159,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"23",22,0.137926929153844,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"24",23,0.200290655344753,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"25",24,0.100849375223282,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"26",25,0.0339145905203088,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"27",26,0.0865336925846709,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"28",27,0.0791970324244796,"HBISE_2016_p5_t5_output_hit_matrix.csv"
"29",28,0.06127518863611,"HBISE_2016_p5_t5_output_hit_matrix.csv"
