"","zbin","vai","plot"
"1",0,0,"ISEp7t2_output_hit_matrix.csv"
"2",1,0,"ISEp7t2_output_hit_matrix.csv"
"3",2,0.0436822961273255,"ISEp7t2_output_hit_matrix.csv"
"4",3,0.0549749868391593,"ISEp7t2_output_hit_matrix.csv"
"5",4,0.26033407608078,"ISEp7t2_output_hit_matrix.csv"
"6",5,0.473010608954019,"ISEp7t2_output_hit_matrix.csv"
"7",6,0.964381290636426,"ISEp7t2_output_hit_matrix.csv"
"8",7,0.705794949520322,"ISEp7t2_output_hit_matrix.csv"
"9",8,1.16615717992087,"ISEp7t2_output_hit_matrix.csv"
"10",9,0.548421463339671,"ISEp7t2_output_hit_matrix.csv"
"11",10,0.671581064113186,"ISEp7t2_output_hit_matrix.csv"
"12",11,0.204849871463755,"ISEp7t2_output_hit_matrix.csv"
"13",12,0.294109414464449,"ISEp7t2_output_hit_matrix.csv"
"14",13,0.508377175043831,"ISEp7t2_output_hit_matrix.csv"
"15",14,0.220189812138652,"ISEp7t2_output_hit_matrix.csv"
"16",15,0.209888551414825,"ISEp7t2_output_hit_matrix.csv"
"17",16,0.184223760984312,"ISEp7t2_output_hit_matrix.csv"
"18",17,0.172509681141344,"ISEp7t2_output_hit_matrix.csv"
"19",18,0.337191472661235,"ISEp7t2_output_hit_matrix.csv"
"20",19,0.310254300519152,"ISEp7t2_output_hit_matrix.csv"
"21",20,0.26500099885085,"ISEp7t2_output_hit_matrix.csv"
"22",21,0,"ISEp7t2_output_hit_matrix.csv"
"23",22,0.102873643128628,"ISEp7t2_output_hit_matrix.csv"
