"","zbin","vai","plot"
"1",0,0,"ISEp9t3_output_hit_matrix.csv"
"2",1,0.0211002521002966,"ISEp9t3_output_hit_matrix.csv"
"3",2,0.28660358484193,"ISEp9t3_output_hit_matrix.csv"
"4",3,0.0325807551362317,"ISEp9t3_output_hit_matrix.csv"
"5",4,0.260661039572908,"ISEp9t3_output_hit_matrix.csv"
"6",5,0.501797991661225,"ISEp9t3_output_hit_matrix.csv"
"7",6,0.559634408145553,"ISEp9t3_output_hit_matrix.csv"
"8",7,1.39880703688964,"ISEp9t3_output_hit_matrix.csv"
"9",8,1.4061346151431,"ISEp9t3_output_hit_matrix.csv"
"10",9,0.933517396876599,"ISEp9t3_output_hit_matrix.csv"
"11",10,0.967561188704683,"ISEp9t3_output_hit_matrix.csv"
"12",11,0.285317991072421,"ISEp9t3_output_hit_matrix.csv"
"13",12,0.25837042733599,"ISEp9t3_output_hit_matrix.csv"
"14",13,0.0593714477137967,"ISEp9t3_output_hit_matrix.csv"
"15",14,0.163706589618133,"ISEp9t3_output_hit_matrix.csv"
"16",15,0.0046023077996434,"ISEp9t3_output_hit_matrix.csv"
"17",16,0.235334435447526,"ISEp9t3_output_hit_matrix.csv"
"18",17,0.0689715591461019,"ISEp9t3_output_hit_matrix.csv"
"19",18,0.0709424347391132,"ISEp9t3_output_hit_matrix.csv"
"20",19,0.160571038061026,"ISEp9t3_output_hit_matrix.csv"
"21",20,0.00198192045534095,"ISEp9t3_output_hit_matrix.csv"
"22",21,0.01454939294466,"ISEp9t3_output_hit_matrix.csv"
"23",22,0.126458742145812,"ISEp9t3_output_hit_matrix.csv"
