"","zbin","vai","plot"
"1",0,0,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"2",1,0.0106522152566425,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"3",2,0.537645793585578,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"4",3,0.355335075491062,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"5",4,0.177770747448158,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"6",5,0.410396114596598,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"7",6,0.238922007161954,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"8",7,0.202123096248783,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"9",8,0.724033733066429,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"10",9,0.777400240074768,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"11",10,0.733737457066832,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"12",11,0.899017586401482,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"13",12,0.561210361295088,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"14",13,0.669825507237657,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"15",14,0.155523513405817,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"16",15,0.178859531282539,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"17",16,0.235208665597695,"hbefise_2017_p3_t5_output_hit_matrix.csv"
"18",17,0.0849764354157824,"hbefise_2017_p3_t5_output_hit_matrix.csv"
