plot,site,year,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
AF_50MGRID_061512_10.CSV,ameriflux,2012,10.23043865,4.035020069,16.28138696,10.98260598,50,9.86,5.676431883,4.651135477,19.948,14.79802,7.075318041,3.03457034,0,0,0.634285714,181.5895802,10.06576583,8.959349221,4.359646608,7.948514212,4.713419885,2.591553455,97.40844654,19.948,271,4,0.940389309,17.88646288
AF_50MGRID_061512_11.CSV,ameriflux,2012,10.21021913,4.005613616,16.04494044,10.95320119,50,10.6,5.826841175,5.767608354,21.854,14.82256,7.550450082,2.957040462,0,0,0.66,410.0928843,14.2280599,14.41024621,4.72148555,6.819123278,4.81775723,0.718160287,99.28183971,21.854,261.9,4.1,0.927336833,18.50187583
AF_50MGRID_061512_12.CSV,ameriflux,2012,9.76934911,3.913147612,15.31272423,10.5093602,50,9.28,5.648169251,4.589428847,22.136,14.28964,7.22762663,3.289376538,0,0,0.688695652,250.1212745,11.31531124,11.04920839,5.272615301,7.251955835,4.96558411,2.087822275,97.91217772,22.136,269.3,4.64,0.918186069,17.73650706
AF_50MGRID_061512_13.CSV,ameriflux,2012,9.54210556,4.673701191,21.84348282,10.6046401,50,9.26,5.515642487,5.941242913,22.138,15.14904,6.757670085,2.854604834,0,0,0.654782609,367.7504792,14.11074659,12.98604289,5.991796385,6.961298367,5.49285474,3.370786517,96.62921348,22.138,251.1,5.4,0.925081984,18.61450337
AF_50MGRID_061512_6.CSV,ameriflux,2012,9.439190472,3.893384979,15.15844659,10.19576355,50,9.26,5.886090819,5.118234708,21.344,14.39156,7.334140277,2.874891306,0,0,0.63,418.2290831,15.73266069,13.06569825,5.145226669,6.338417322,4.909467867,1.977924291,98.02207571,21.344,270.1,5.22,0.910262301,17.88672929
AF_50MGRID_061512_7.CSV,ameriflux,2012,9.687113781,4.167800703,17.3705627,10.52916544,50,9.7,7.357593903,5.603388188,21.092,13.85736,7.761260695,3.230995029,0,0,0.642727273,207.0520921,11.83614494,8.182772458,4.575890406,6.548105681,4.666828442,0.743354858,99.25664514,21.206,266.48,3.76,0.932269879,18.07901206
AF_50MGRID_061512_8.CSV,ameriflux,2012,9.524394746,3.825375634,14.63349874,10.24963043,50,8.9,5.71618572,5.280885826,20.645,14.92228,7.701409525,2.812662506,0,0,0.631818182,268.4363316,13.91824882,8.643996839,4.372256906,6.264310319,4.343944738,0.50799909,99.49200091,20.645,263.9,4.28,0.934078879,18.32476818
AF_50MGRID_061512_9.CSV,ameriflux,2012,10.98345946,3.761989602,14.15256576,11.5976677,50,10.88,5.988417216,4.984219997,21.253,14.85446,7.343768876,3.006582205,0,0,0.628181818,261.0243468,11.79762198,11.03813673,4.71820525,8.267375742,4.801334897,2.126357656,97.87364234,21.544,261.6,4.4,0.930310414,18.18469399
AF_50MGRID_081512_1.CSV,ameriflux,2012,10.31221906,4.331708262,18.76369647,11.16827133,50,9.88,6.410792987,5.787530579,20.823,14.95616,6.939563663,3.046266948,0,0,0.666363636,499.1663459,16.12622768,15.46321851,5.46569278,7.511544333,5.333331097,3.709063214,96.29093679,21.262,262.72,5.08,0.938237737,18.18401512
AF_50MGRID_081512_14.CSV,ameriflux,2012,10.01376869,4.828914207,23.31841242,11.09628801,50,9.92,5.983715917,6.514786948,21.639,15.54832,6.726187837,2.850291189,0,0,0.674782609,503.962129,16.2504435,15.48822827,6.024718344,7.516012085,5.681994467,6.052470083,93.94752992,21.639,260.84,5.06,0.946412633,19.20845921
