,X1,plot,column,row,distance,status,mean.height,height.2,mean.height.var,mean.height.rms,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
16,1,hemlock_0704.CSV,7,4,80,low,8.981824795,2.465781467,6.080078245,9.305979419,8.6,6.619641008,2.72500294,21.945,11.613675,7.973111945,3.578333663,0,0,0.664130435,129.3134748,6.523112961,9.31463752,4.289667325,6.034146374,2.771321505,0.351909239,99.64809076,21.945,476.1,3.975,0.713601511,12.42433312
17,1,hemlock_0706.CSV,7,6,120,low,11.75417463,1.688915302,2.852434898,11.87188886,11.775,6.450475857,2.566924729,24.52,14.298725,7.969873632,3.184004841,0,0,0.669230769,99.01494164,7.11209307,6.95938746,3.254561477,8.413226546,2.627145154,0.557863501,99.4421365,24.52,421.375,4.05,0.708974172,12.95838809
18,1,hemlock_0708.CSV,7,8,160,low,15.94382209,2.966091001,8.797695826,16.21058964,15.325,6.599209864,4.725205192,23.572,19.01985,6.969130451,2.81193474,0,0,0.637,86.21753001,6.697491018,6.431263024,2.141394975,13.71196825,4.193352652,2.349869452,97.65013055,23.572,459.725,2.475,0.657555377,14.87066922
19,1,hemlock_0710.CSV,7,10,200,low,14.8713876,3.641751665,13.26235519,15.29996619,14.15,4.200027508,6.704571728,22.176,19.2711,6.995053341,2.589239087,0,0,0.544565217,517.6857573,17.71933271,14.27273645,2.088228826,11.8217036,5.672639167,3.887724716,96.11227528,22.176,453.475,2.45,0.722980205,16.85655305
20,1,hemlock_0712.CSV,7,12,240,moderate,14.4354699,4.065499619,16.52828715,14.98325303,14.75,5.826994985,5.508734323,23.842,19.338225,7.36334963,2.717946098,0,0,0.575,342.8881453,13.52423112,12.64845121,3.42715192,12.3517926,4.848367459,1.57970567,98.42029433,23.842,485.975,3.475,0.658450902,16.25641256
21,1,hemlock_0714.CSV,7,14,280,low,15.88338532,4.490342536,20.1631761,16.49063449,15.55,5.264974415,5.415788884,23.943,20.014775,6.612997256,2.57102174,1,0.025,0.616,334.6632951,11.6907289,14.07089738,3.854726938,13.43321031,5.510161705,7.991653037,92.00834696,23.943,443.4,3.525,0.81229241,17.30704225
22,1,hemlock_0716.CSV,7,16,320,moderate,12.88606284,3.861792004,14.91343748,13.43842316,13.3,6.087015105,5.054573963,20.926,15.5475,7.676478003,2.959039051,0,0,0.585227273,171.0190015,9.255605983,9.238655714,3.869584812,9.847063386,5.006858275,0.982428563,99.01757144,20.926,445.45,2.625,0.904342016,18.02042473
23,1,hemlock_0718.CSV,7,18,360,high,9.967920109,2.103411631,4.42434049,10.18200193,10.175,5.169129998,3.455857161,17.624,13.31295,7.792149958,3.083037167,0,0,0.527631579,99.61546558,7.866775144,6.142419263,2.753871782,7.091737196,3.103357898,0.764675444,99.23532456,17.624,434.95,2.925,0.792129142,14.07151436
24,1,hemlock_0720.CSV,7,20,400,moderate,12.00663504,3.191024311,10.18263615,12.41319279,12.7,5.715520835,4.37475274,22.073,15.14715,7.834714879,3.369491782,0,0,0.608695652,153.8584481,9.604221287,7.84967398,3.30002441,8.340786733,4.491572484,1.076865949,98.92313405,22.073,471.4,3.625,0.809878554,15.54329575
25,1,hemlock_0722.CSV,7,22,440,low,9.411857476,2.51860713,6.343381876,9.734878452,9.55,5.95220588,3.672140436,17.147,12.0705,7.599030657,3.278700536,0,0,0.540277778,55.66754054,5.654859144,4.867248566,3.042445508,6.752259996,3.449246618,1.974672677,98.02532732,21.677,582.5,2.925,0.809555064,13.50437569
26,1,hemlock_0724.CSV,7,24,480,low,10.84491315,2.592856269,6.722903632,11.13547932,10.85,6.46488911,3.150187964,17.243,13.3101,7.64714456,3.23463222,0,0,0.505555556,64.09883948,6.348428414,4.878144745,3.333760464,8.235533743,3.578806093,1.224564957,98.77543504,17.243,543.2,3.4,0.85210245,14.428051
27,1,hemlock_0800_2.CSV,8,0,0,low,8.796448027,4.86321806,23.6508899,9.992289192,7.9,4.413748751,6.488045687,27.375,16.64405,6.841614431,2.704261965,0,0,0.694642857,1674.836552,25.65823326,31.88246569,8.559922512,6.351845464,5.537224075,2.834785176,97.16521482,27.375,338.8,5.25,0.81557212,18.78034682
28,1,hemlock_0800.CSV,8,0,0,low,8.561956852,3.995199664,15.96162036,9.42001441,7.5,6.011033033,5.500783643,27.079,18.1529,6.837217879,3.142101424,0,0,0.705952381,995.6203415,22.38006175,22.24304785,7.021656099,6.362037553,4.9209074,3.665749656,96.33425034,27.079,484.8,5.566666667,0.883106985,19.9180542
29,1,hemlock_0802.CSV,8,2,40,low,8.332242563,4.371562349,19.11055737,9.383978877,8.45,5.945637388,5.857057982,24.825,12.2635,7.773895509,3.291493619,0,0,0.707692308,282.9912574,11.56005989,12.22114041,6.258790864,5.133275748,3.876702607,1.752643156,98.24735684,24.825,352.45,6.375,0.739309622,14.53538849
30,1,hemlock_0804.CSV,8,4,80,low,8.555215957,3.421482539,11.70654277,9.198130205,8.575,5.745860882,4.534129832,23.267,11.7105,7.754407308,3.278281001,0,0,0.708333333,366.692623,10.9252937,15.7267473,5.049103459,5.132930944,2.999302932,2.870359388,97.12964061,23.267,421.675,4.075,0.741908422,12.70664506
31,1,hemlock_0806.CSV,8,6,120,low,11.97489887,3.89563983,15.17600968,12.57755192,11.775,6.196363423,5.308375095,22.755,16.2889,7.678014629,2.897661324,0,0,0.626041667,241.8860335,11.98496289,9.911947238,3.991939801,8.832080081,4.631199152,1.017450458,98.98254954,22.755,422.75,3.85,0.884581577,17.95750314
32,1,hemlock_0808.CSV,8,8,160,low,14.64975598,2.707500771,7.330560423,14.89169724,15.25,4.739330809,3.593084526,21.032,18.180175,7.49767815,2.769903994,0,0,0.543181818,195.4149979,10.64806274,9.057248905,2.59634212,11.54226212,4.460477752,1.682022713,98.31797729,21.032,466.825,3.375,0.833709558,16.95739769
33,1,hemlock_0810.CSV,8,10,200,high,13.52606413,4.097169078,16.78679445,14.12555735,13.7375,7.349505219,5.025866636,23.181,17.5078375,7.57250688,2.798426298,0,0,0.5875,188.5206353,10.37172417,8.997109147,3.748320571,10.443228,5.132318219,1.72008702,98.27991298,23.181,431.05,3.35,0.903289794,19.26959941
34,1,hemlock_0814.CSV,8,14,240,moderate,14.27450335,3.535590582,12.50040076,14.69521475,13.875,4.534933432,5.059580909,23.021,18.755525,6.448230128,2.112399373,0,0,0.588541667,185.6932501,9.745533247,9.524590902,2.634148196,11.44289855,4.846712989,12.59777686,87.40222314,23.021,485.925,3.5,0.822416151,17.26131209
35,1,hemlock_0816.CSV,8,16,280,high,11.03421695,4.083760973,16.67710369,11.74794108,10.75,3.951760218,5.687367919,23.278,16.677775,6.400025974,2.270925449,1,0.025,0.613541667,252.1750013,12.50924961,9.782314421,4.22999225,8.851948043,4.637388763,10.29574754,89.70425246,23.278,428.7,3.6,0.811520331,16.96967082
36,1,hemlock_0818.CSV,8,18,320,high,11.4518063,2.589920062,6.707685926,11.73387666,12.3,5.48142481,3.298795429,20.513,14.24275,7.92318292,2.907514166,0,0,0.563636364,95.9411253,7.82371695,5.893265512,3.070812811,8.015670786,3.395493414,0.94522264,99.05477736,20.513,439.175,3.025,0.766301621,14.67808083
37,1,hemlock_0820.CSV,8,20,360,high,14.52993801,2.719002503,7.392974612,14.77590095,15.25,4.247657362,3.557224501,21.864,17.910225,7.214479947,2.464355705,0,0,0.551086957,131.4297126,9.495682733,6.423528781,2.370435938,10.81728881,4.322527887,4.419234677,95.58076532,21.864,443.075,2.575,0.811551044,17.18579345
38,1,hemlock_0822.CSV,8,22,400,low,11.338522,2.889613646,8.349867023,11.69498969,11.6,7.374979725,4.084696533,19.679,14.13161667,7.803187355,3.387855679,0,0,0.591269841,85.99839764,6.762904168,6.345196991,3.099398996,8.464603131,3.416367494,0.352086015,99.64791399,19.679,440.35,2.966666667,0.781139785,14.4639254
