plot,site,class,year,x,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl,
AF_50MGRID_061512_10.CSV,Ameriflux,,2012,pre,10.23043865,4.035020069,16.28138696,10.98260598,50,9.86,5.676431883,4.651135477,19.948,14.79802,7.075318041,3.03457034,0,0,0.634285714,181.5895802,10.06576583,8.959349221,4.359646608,7.948514212,4.713419885,2.591553455,97.40844654,19.948,271,4,0.940389309,17.88646288,
AF_50MGRID_061512_11.CSV,Ameriflux,,2012,pre,10.21021913,4.005613616,16.04494044,10.95320119,50,10.6,5.826841175,5.767608354,21.854,14.82256,7.550450082,2.957040462,0,0,0.66,410.0928843,14.2280599,14.41024621,4.72148555,6.819123278,4.81775723,0.718160287,99.28183971,21.854,261.9,4.1,0.927336833,18.50187583,
AF_50MGRID_061512_12.CSV,Ameriflux,,2012,pre,9.76934911,3.913147612,15.31272423,10.5093602,50,9.28,5.648169251,4.589428847,22.136,14.28964,7.22762663,3.289376538,0,0,0.688695652,250.1212745,11.31531124,11.04920839,5.272615301,7.251955835,4.96558411,2.087822275,97.91217772,22.136,269.3,4.64,0.918186069,17.73650706,
AF_50MGRID_061512_13.CSV,Ameriflux,,2012,pre,9.54210556,4.673701191,21.84348282,10.6046401,50,9.26,5.515642487,5.941242913,22.138,15.14904,6.757670085,2.854604834,0,0,0.654782609,367.7504792,14.11074659,12.98604289,5.991796385,6.961298367,5.49285474,3.370786517,96.62921348,22.138,251.1,5.4,0.925081984,18.61450337,
AF_50MGRID_061512_6.CSV,Ameriflux,,2012,pre,9.439190472,3.893384979,15.15844659,10.19576355,50,9.26,5.886090819,5.118234708,21.344,14.39156,7.334140277,2.874891306,0,0,0.63,418.2290831,15.73266069,13.06569825,5.145226669,6.338417322,4.909467867,1.977924291,98.02207571,21.344,270.1,5.22,0.910262301,17.88672929,
AF_50MGRID_061512_7.CSV,Ameriflux,,2012,pre,9.687113781,4.167800703,17.3705627,10.52916544,50,9.7,7.357593903,5.603388188,21.092,13.85736,7.761260695,3.230995029,0,0,0.642727273,207.0520921,11.83614494,8.182772458,4.575890406,6.548105681,4.666828442,0.743354858,99.25664514,21.206,266.48,3.76,0.932269879,18.07901206,
AF_50MGRID_061512_8.CSV,Ameriflux,,2012,pre,9.524394746,3.825375634,14.63349874,10.24963043,50,8.9,5.71618572,5.280885826,20.645,14.92228,7.701409525,2.812662506,0,0,0.631818182,268.4363316,13.91824882,8.643996839,4.372256906,6.264310319,4.343944738,0.50799909,99.49200091,20.645,263.9,4.28,0.934078879,18.32476818,
AF_50MGRID_061512_9.CSV,Ameriflux,,2012,pre,10.98345946,3.761989602,14.15256576,11.5976677,50,10.88,5.988417216,4.984219997,21.253,14.85446,7.343768876,3.006582205,0,0,0.628181818,261.0243468,11.79762198,11.03813673,4.71820525,8.267375742,4.801334897,2.126357656,97.87364234,21.544,261.6,4.4,0.930310414,18.18469399,
AF_50MGRID_081512_1.CSV,Ameriflux,,2012,pre,10.31221906,4.331708262,18.76369647,11.16827133,50,9.88,6.410792987,5.787530579,20.823,14.95616,6.939563663,3.046266948,0,0,0.666363636,499.1663459,16.12622768,15.46321851,5.46569278,7.511544333,5.333331097,3.709063214,96.29093679,21.262,262.72,5.08,0.938237737,18.18401512,
AF_50MGRID_081512_14.CSV,Ameriflux,,2012,pre,10.01376869,4.828914207,23.31841242,11.09628801,50,9.92,5.983715917,6.514786948,21.639,15.54832,6.726187837,2.850291189,0,0,0.674782609,503.962129,16.2504435,15.48822827,6.024718344,7.516012085,5.681994467,6.052470083,93.94752992,21.639,260.84,5.06,0.946412633,19.20845921,
AF_50MGRID_081512_15.CSV,Ameriflux,,2012,pre,9.599405892,4.674811178,21.85385955,10.65670567,50,8.78,7.906474223,6.386497235,21.463,15.8296,6.722200492,3.029859098,0,0,0.63,550.6498811,17.13510966,16.0324015,5.624499038,7.521356874,5.460887484,4.188330445,95.81166956,21.463,277.08,4.56,0.965230241,19.94089322,
AF_50MGRID_081512_16.CSV,Ameriflux,,2012,pre,10.79658969,4.646613656,21.59101847,11.73565282,50,9.58,6.432645948,6.324845727,21.996,16.61046,6.022244051,2.572876671,1,0.02,0.664347826,624.513163,17.09073076,18.2323911,5.188784794,9.21935972,5.877970174,8.57662905,91.42337095,21.996,274.82,3.74,0.942850875,19.31501167,
AF_50MGRID_081512_17.CSV,Ameriflux,,2012,pre,11.65436891,4.649741188,21.62009312,12.53044317,50,10.06,5.847597536,5.545397062,22.043,16.96004,5.745045508,2.561828514,1,0.02,0.671304348,519.6469938,14.4215374,17.65407185,5.198479703,10.53189923,5.800160374,8.883968726,91.11603127,22.043,289.18,4.12,0.935172071,18.69719969,
AF_50MGRID_081512_18.CSV,Ameriflux,,2012,pre,11.59747059,4.273369346,18.26168556,12.34494941,50,11.26,5.726896168,5.619971675,21.486,17.5122,6.891373321,2.727225362,0,0,0.619090909,462.2020639,16.58367738,13.68150974,4.453780774,9.28896264,5.716931051,2.981949458,97.01805054,21.486,277.12,3.98,0.932973163,18.70655301,
AF_50MGRID_081512_19.CSV,Ameriflux,,2012,pre,11.72111957,3.996741669,15.97394397,12.37089766,50,11.4,5.071485351,5.876275372,21.649,16.72344,7.206468382,2.658806275,0,0,0.614782609,440.4273496,15.92694263,13.66601069,4.653580295,8.929127844,5.421922532,1.805595204,98.1944048,21.649,280.36,3.92,0.942023885,19.75727373,
AF_50MGRID_081512_2.CSV,Ameriflux,,2012,pre,10.67988114,4.236824075,17.95067825,11.47394988,50,11,7.0175534,5.710713169,20.657,15.76302,7.011236534,3.028039762,0,0,0.652727273,389.2259748,15.36538973,12.37460194,4.770797796,7.774795005,5.243664867,2.800902513,97.19909749,20.657,257.18,4.78,0.945501718,18.56067158,
AF_50MGRID_081512_20.CSV,Ameriflux,,2012,pre,10.38345957,4.112264206,16.9107169,11.1529698,50,9.8,6.700855017,5.67126664,22.156,16.43322,7.071921771,3.002692108,0,0,0.631304348,500.5519371,16.01511237,15.62267944,3.985939565,8.020612413,5.377996774,2.683565815,97.31643419,22.156,282.58,3.6,0.9545915,20.03298418,
AF_50MGRID_081512_21.CSV,Ameriflux,,2012,pre,10.03251774,4.14188995,17.15525236,10.83806069,50,9.74,5.641670184,5.150034674,21.834,13.19534,7.378089787,3.069612037,0,0,0.686086957,238.8286617,10.21270604,11.59867652,4.94046767,7.101127944,4.795081337,3.463172805,96.5368272,21.834,282.52,5.1,0.921661897,17.61332613,
AF_50MGRID_081512_22.CSV,Ameriflux,,2012,pre,9.849313906,3.329717844,11.08702092,10.38625365,50,8.94,6.081368227,4.464874247,21.181,14.82184,6.572268101,2.803921336,0,0,0.66,191.1215129,10.62880498,8.840249868,3.60148456,7.405861095,4.185318937,6.654006836,93.34599316,21.181,263.42,4.16,0.917612619,17.16691213,
AF_50MGRID_081512_23.CSV,Ameriflux,,2012,pre,9.732114164,3.215263736,10.33792089,10.23939493,50,9.14,6.365404056,4.398561917,21.578,14.77042,6.647982779,2.762379812,0,0,0.686086957,281.1820869,12.09843437,11.61076969,4.168506918,7.655558707,4.477369008,5.227289748,94.77271025,21.578,267.18,3.52,0.923808247,17.72351421,
AF_50MGRID_081512_24.CSV,Ameriflux,,2012,pre,9.31974948,4.086251811,16.69745386,10.15978519,50,9.34,6.455780151,5.141309291,20.993,13.43298,6.307546859,2.533662647,1,0.02,0.649090909,261.4171015,10.63883777,12.17506601,5.079256729,6.963640108,4.667621353,8.934760841,91.06523916,20.993,259.78,5.34,0.929905225,17.94700072,
AF_50MGRID_081512_25.CSV,Ameriflux,,2012,pre,9.071537277,3.651029242,13.33001452,9.765050066,50,8.66,6.748135054,5.278411944,21.041,13.73018,6.254458526,2.74798068,0,0,0.640909091,350.635322,13.25364391,13.22785868,4.637153229,6.813473574,4.593482834,7.736771899,92.2632281,21.041,270,4.34,0.92062496,17.63592178,
AF_50MGRID_081512_26.CSV,Ameriflux,,2012,pre,8.828034631,4.05575738,16.44916793,9.698163745,50,7.68,6.836523456,4.858991245,22.333,14.69394,6.405942428,3.054808356,0,0,0.685217391,271.4625187,12.45729716,10.78324006,5.060634704,6.986986546,5.140570933,7.978019068,92.02198093,22.333,302.2,4.24,0.938769753,18.64068279,
AF_50MGRID_081512_27.CSV,Ameriflux,,2012,pre,10.11668188,3.752727115,14.0829608,10.77722385,50,9.06,7.007529862,5.0483782,20.66,14.30692,6.032774548,2.573618415,0,0,0.687272727,218.4981875,10.48539144,10.41896127,4.425015954,8.6693011,4.981653923,9.625974397,90.3740256,20.66,279.78,3.72,0.951861542,18.53634085,
AF_50MGRID_081512_28.CSV,Ameriflux,,2012,pre,9.317067511,3.712097523,13.77966802,10.01557895,50,8.62,6.799214891,4.767620379,20.447,14.06576,5.995670266,2.503324148,1,0.02,0.664761905,192.1868129,10.71704638,8.793846139,4.544789636,7.99175013,4.599014897,11.90932067,88.09067933,20.546,261.26,3.42,0.954891391,18.02502182,
AF_50MGRID_081512_29.CSV,Ameriflux,,2012,pre,9.914597722,3.792781393,14.38519069,10.60173263,50,9.86,6.3185967,4.759566092,20.649,13.84554,6.56523091,2.954839028,0,0,0.672727273,131.6234066,8.679805969,7.502291311,4.44596198,7.578912762,4.285888595,6.669985067,93.33001493,20.649,281.38,3.92,0.92634605,17.35869274,
AF_50MGRID_081512_3.CSV,Ameriflux,,2012,pre,12.51953663,3.871724543,14.99025093,13.09309907,50,12.36,6.133147179,5.889319284,20.948,17.05624,7.090498066,2.736011706,0,0,0.628181818,449.3162138,16.24745679,13.61382979,3.417452181,9.459893318,5.638086254,2.157629051,97.84237095,20.948,245.76,3.08,0.886946991,17.13418007,
