plot,treatment,site,year,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
hbef_ise_2017_p1_t2.CSV,double,hbef,2017,8.61898031,4.84614503,23.48512165,9.848304719,30,7.933333333,5.791360085,6.169632713,23.354,14.7812,4.687190791,2.211413238,1,0.033333333,0.731944444,704.7062683,16.06787349,21.1312496,6.818168479,6.087356658,5.026019921,25.24545308,74.75454692,23.354,414.3333333,6.433333333,0.923767169,18.14369216
hbef_ise_2017_p1_t3.CSV,double,hbef,2017,6.506730691,3.734789597,13.94865334,7.47136149,30,6.1,7.750022319,4.985150363,24.032,10.9216,6.920691384,3.73555159,0,0,0.796,482.3912141,12.52814819,18.03986466,7.587096163,3.994889732,3.347264259,9.946639987,90.05336001,24.032,399.9333333,8.066666667,0.771118982,11.74560963
hbef_ise_2017_p1_t4.CSV,double,hbef,2017,10.10746462,5.579586773,31.13178856,11.50021318,30,8.166666667,5.54986657,7.042155496,24.393,18.3552,4.126692955,1.555568329,0,0,0.656,855.8075994,21.0660167,20.29853541,6.425437532,7.202467292,6.053330912,25.28250511,74.71749489,24.393,489.8,3.833333333,0.950198535,21.43077914
hbef_ise_2017_p1_t5.CSV,double,hbef,2017,12.0090515,6.017682263,36.21249982,13.38740955,30,11.43333333,7.319354598,7.587118545,27.45,19.21,6.452778755,2.945064777,0,0,0.710714286,662.7649422,19.03524336,17.33275663,6.351915693,8.658998195,7.116497693,10.38750967,89.61249033,27.45,474.1,4.8,0.952334482,23.33030423
hbef_ise_2017_p10_t1.CSV,moderate,hbef,2017,9.011318823,3.250571173,10.56621295,9.561269412,30,8.8,5.883557494,4.037752875,24.723,13.2506,7.711616522,3.075953247,0,0,0.712820513,290.1414777,12.10396126,11.98480703,5.614959297,5.928037798,3.654471576,0.773320445,99.22667956,24.723,344.9666667,4.066666667,0.793613477,14.8361916
hbef_ise_2017_p10_t2.CSV,moderate,hbef,2017,10.97608547,4.992072163,24.92078448,12.02349965,30,11.26666667,7.673084937,7.776770597,26.307,16.9965,7.858253205,3.390947349,0,0,0.696296296,1278.130635,26.17486776,24.35173366,6.463339015,6.183898253,5.02938802,0.216782585,99.78321741,26.307,369.1666667,6.566666667,0.898896872,19.97227723
hbef_ise_2017_p10_t3.CSV,moderate,hbef,2017,8.22312761,2.946658253,8.682794862,8.7185547,30,8.166666667,6.701192114,4.962503076,21.868,14.69823333,6.969632009,3.329275068,0,0,0.668115942,510.1408624,15.08017586,16.81455199,5.810482565,5.369757678,3.525420115,6.325764043,93.67423596,21.868,390.6,5.633333333,0.850648866,16.06156202
hbef_ise_2017_p10_t4.CSV,moderate,hbef,2017,8.436211067,2.81837574,7.943241815,8.879646629,30,7.466666667,6.524260511,3.945607189,20.255,13.42006667,7.772237548,3.30212743,0,0,0.658730159,269.1791963,12.41169684,10.72981723,4.118364916,5.10101491,2.789655866,0.42542108,99.57457892,20.255,384.0666667,4.733333333,0.81655273,13.79438973
hbef_ise_2017_p10_t5.CSV,moderate,hbef,2017,9.226949395,3.773882633,14.24219013,9.945051312,30,9.266666667,5.823096333,5.806852868,22.896,14.62933333,7.081045858,2.628842912,0,0,0.615277778,319.4988418,12.51041258,12.76669178,5.125343732,6.158670322,3.583065476,3.900739356,96.09926064,22.896,392.3666667,4.666666667,0.848473207,17.3870383
hbef_ise_2017_p2_t1.CSV,light,hbef,2017,9.135672202,2.342450446,5.48707409,9.421500846,30,9.166666667,5.34387515,3.957387969,23.883,15.17543333,7.728607967,2.977593511,0,0,0.721333333,449.760109,14.9158597,15.07571684,6.379307041,5.912349037,2.513926314,0.797029255,99.20297075,23.883,368.1666667,5.433333333,0.630298468,11.4980258
hbef_ise_2017_p2_t2.CSV,light,hbef,2017,9.101597172,2.836626923,8.046452301,9.519312386,30,9.466666667,7.753092452,4.264798442,20.218,13.08813333,7.778943758,3.325824524,0,0,0.663492063,165.3240638,9.447129645,8.722144535,4.298379677,6.019857987,2.683278813,0.49567336,99.50432664,20.218,396.9,4.7,0.798390301,13.51292844
hbef_ise_2017_p2_t3.CSV,light,hbef,2017,8.325801441,2.318865606,5.377137699,8.632315415,30,8.366666667,4.933284243,3.881728493,20.26,13.3587,7.486940101,2.808085918,0,0,0.636507937,316.7004051,12.39615109,12.76854899,4.488978381,5.166884026,2.503670338,2.643627234,97.35637277,20.26,451.5333333,4.966666667,0.69007977,12.33035504
hbef_ise_2017_p2_t4.CSV,light,hbef,2017,8.123943437,2.358946887,5.564630415,8.448526481,30,8.7,4.637654848,4.260079326,20.686,11.56616667,7.900080093,2.780388772,0,0,0.666666667,358.4342503,11.34342427,15.15786846,4.630983653,4.68696455,2.206186317,0.157493369,99.84250663,20.686,402.2666667,4.066666667,0.55242612,10.3640257
hbef_ise_2017_p2_t5.CSV,light,hbef,2017,7.600231743,2.203397844,4.85496206,7.902952141,30,6.466666667,7.272905014,2.431592827,22.744,11.69566667,7.850398815,3.481007418,0,0,0.701388889,240.0999194,9.728909859,12.06019205,4.942625279,4.809456324,2.584155336,0.210815765,99.78918423,22.744,363.8,5.066666667,0.712905512,12.42273582
hbef_ise_2017_p4_t1.CSV,control,hbef,2017,10.14718476,2.309453243,5.333574281,10.3981319,30,10.3,4.341547799,3.120013263,20.485,13.44693333,8,2.834741605,0,0,0.615873016,131.1868713,9.103482938,6.95078914,3.53646688,6.480522523,2.822587008,0,100,20.485,367.9,3.366666667,0.765667545,13.30395275
hbef_ise_2017_p4_t2.CSV,control,hbef,2017,9.892939484,1.985274157,3.941313479,10.08365945,30,10.2,5.110096206,3.736123752,21.873,13.45776667,7.941709447,2.95676912,0,0,0.639130435,134.5278844,9.101747695,7.1893027,3.042525841,6.405971685,2.653764103,0.071858439,99.92814156,21.873,371.2333333,3.733333333,0.710951896,13.05559065
hbef_ise_2017_p4_t3.CSV,control,hbef,2017,8.709456254,2.383172965,5.679513379,9.019136572,30,7.9,7.764438397,3.077728674,21.82,14.4412,7.155450456,3.318020122,0,0,0.655072464,187.7415633,10.11351389,9.244371263,3.978773701,6.151895211,3.167262903,4.278661547,95.72133845,21.82,425.5,4.3,0.773804383,14.36206897
hbef_ise_2017_p4_t4.CSV,control,hbef,2017,10.26501366,2.982594627,8.895870708,10.67566612,30,10.6,5.484408185,4.231246657,20.628,14.3244,7.831878954,3.14798152,0,0,0.636363636,187.1176332,10.55829566,8.697127448,4.288363811,6.888629053,3.074013146,0.286992488,99.71300751,20.628,395.0333333,3.7,0.751778539,14.56752656
hbef_ise_2017_p4_t5.CSV,control,hbef,2017,9.752829937,2.49280295,6.214066546,10.05607392,30,10.23333333,5.613326569,3.092631212,19.422,12.094,7.982521142,3.212463146,0,0,0.62,74.86105239,6.35524147,5.871282504,3.723640497,6.652827185,2.562565149,0.017115961,99.98288404,19.422,389.6333333,3.466666667,0.690552128,12.02220167
hbef_ise_2017_p6_t1.CSV,light,hbef,2017,12.12547716,4.659988165,21.7154897,12.962208,30,12.33333333,6.484074694,6.059095946,24.147,16.86863333,7.346370472,2.82239202,0,0,0.654666667,464.4556378,16.34589266,14.04519245,5.241950989,8.5179837,5.226654324,4.893581364,95.10641864,24.147,397.9333333,5,0.915666208,19.66608033
hbef_ise_2017_p6_t2.CSV,light,hbef,2017,9.892918658,3.66292191,13.41699692,10.5174135,20,9.75,5.576642031,4.799945175,21.392,14.4976,7.492740317,3.079933726,0,0,0.679545455,241.7339041,11.4053758,10.5665182,4.935618272,6.507639707,3.302309981,1.682275408,98.31772459,22.701,576.75,4.5,0.789607505,13.51529572
hbef_ise_2017_p6_t3.CSV,light,hbef,2017,9.431330867,2.808539777,7.88789568,9.82725637,30,9.066666667,6.480797806,5.091800937,22.132,14.77316667,7.417200157,2.841500896,0,0,0.631884058,408.7774083,14.26228923,14.3305448,4.637180788,6.639666505,3.669258932,1.290014333,98.70998567,22.132,348.9666667,5.233333333,0.887919038,17.32438238
hbef_ise_2017_p6_t4.CSV,light,hbef,2017,10.1792813,4.002636744,16.0211009,10.91351603,30,9.5,5.483061454,5.728031497,22.065,15.95593333,7.405959727,3.05267843,0,0,0.666666667,435.9792292,16.80306307,12.39501112,5.348658697,6.303235649,4.018931877,1.686451856,98.31354814,22.065,353.9333333,4.466666667,0.897215517,17.36703874
hbef_ise_2017_p6_t5.CSV,light,hbef,2017,12.16106015,4.551294379,20.71428052,12.95820931,30,11.83333333,4.682868358,7.254408093,23.725,17.54253333,7.565881121,2.684837926,0,0,0.650666667,551.978352,19.43045422,13.20741461,4.589753939,7.821817423,4.893211754,2.570573939,97.42942606,23.725,356.7333333,4.4,0.893669018,19.07837688
hbef_ise_2017_p7_t1.CSV,control,hbef,2017,9.949523334,3.315119858,10.99001967,10.46979944,30,9.833333333,6.789968323,5.724016755,23.197,16.6059,6.890837794,2.965089773,0,0,0.673611111,402.2118958,15.39971458,12.84759459,4.976180063,6.8140695,3.477060037,4.812184638,95.18781536,23.197,356.8666667,6.066666667,0.791227686,15.42166992
hbef_ise_2017_p7_t2.CSV,control,hbef,2017,10.34372678,2.830746661,8.013126659,10.71161547,30,10.56666667,6.388579394,3.829858495,21.899,13.32263333,7.91420471,3.191490337,0,0,0.695652174,171.4902877,8.720251188,9.769723995,4.647312219,7.242201443,2.80154176,0.164173659,99.83582634,21.899,365.6,4.533333333,0.812727546,14.09846547
hbef_ise_2017_p7_t3.CSV,control,hbef,2017,11.23147371,2.931616802,8.594377076,11.5954258,30,11.73333333,7.036640173,4.755637912,23.209,15.53796667,6.770922322,2.813081533,0,0,0.658333333,202.7880236,10.07492893,10.06398681,4.085248268,8.102308195,3.154288822,8.938911997,91.061088,23.209,408.8333333,4.5,0.794245749,15.6130031
