,plot,transect,filename,year,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
1,GRSM_55,GRSM_55c,GRSM_055C_2017.CSV,2017,15.82580767,6.753205206,45.60578056,17.17328811,40,16.225,5.604217292,9.525909338,37.907,25.686325,7.183205572,2.996010783,0,0,0.757051282,3220.948533,42.06493172,38.09842586,10.3926403,GRSM_055C_2017.CSV,11.66184754,8.007298347,2.988470874,97.01152913,39.379,329.725,8.875,0.935140854,29.11838638
2,GRSM_55,GRSM_55e,GRSM_055E_2017.CSV,2017,10.6469518,4.862526999,23.64416881,11.67105875,30,10.46666667,5.206937141,6.14050056,28.674,14.4867,5.528126078,2.302821378,0,0,0.753333333,321.3027135,10.3106791,14.6626263,6.861040944,GRSM_055E_2017.CSV,8.682964146,5.055866219,12.97511954,87.02488046,29.574,411.4333333,4.4,0.813933311,16.86652977
3,GRSM_55,GRSM_55w,GRSM_055W_2017.CSV,2017,14.09755742,5.107594261,26.08751913,14.97252338,40,12,7.844262671,8.298903233,38.058,26.172375,7.369587786,3.136108678,0,0,0.76025641,4442.725391,50.34999377,43.67612068,9.216104263,GRSM_055W_2017.CSV,9.629383495,6.744023625,1.123680241,98.87631976,38.058,331.625,8.675,0.918715873,27.53464567
4,GRSM_57,GRSM_57c,GRSM_057C_2017.CSV,2017,19.87347137,8.613262553,74.18829181,21.61685566,40,17.65,5.173761754,13.03948638,42.204,33.1827,6.96702769,2.323207284,0,0,0.709883721,6776.727411,67.59892393,46.97992012,8.222247825,GRSM_057C_2017.CSV,16.18069059,11.41815036,2.04094568,97.95905432,42.204,394.55,6.875,0.94384891,34.55947259
5,GRSM_57,GRSM_57e,GRSM_057E_2017.CSV,2017,18.55703511,7.446699695,55.45333634,19.96072532,40,17.775,5.763553302,10.79289296,38.696,28.0077,7.451431673,2.96828678,0,0,0.7475,3781.211588,48.50900477,37.79005219,7.645318887,GRSM_057E_2017.CSV,13.80159546,9.653756088,1.261829653,98.73817035,38.696,356.75,5.525,0.949282057,31.91552601
6,GRSM_57,GRSM_57w,GRSM_057W_2017.CSV,2017,16.35731299,6.078403369,36.94698752,17.4236908,40,16.075,5.861225098,8.343237704,39.711,24.89505,7.444490083,2.905204699,0,0,0.77804878,3026.627373,38.41945613,39.3773128,9.020274633,GRSM_057W_2017.CSV,12.18019495,7.870256505,1.673581323,98.32641868,39.711,355.65,6.2,0.927454725,29.22276136
7,GRSM_64,GRSM_64c,GRSM_064C_2017.CSV,2017,16.98926366,6.248440654,39.04301061,18.07490014,40,17.25,6.300421228,8.405584224,34.363,26.3489,5.373511191,2.04551846,0,0,0.722857143,1858.944781,34.81795548,25.42940733,5.703711953,GRSM_064C_2017.CSV,13.8860063,7.69234694,14.0026805,85.9973195,34.363,429.15,5.375,0.945906287,28.21289355
8,GRSM_64,GRSM_64e,GRSM_064E_2017.CSV,2017,11.55439769,7.462126998,55.68333934,13.70384479,40,11.175,8,8.512095466,35.933,19.801325,6.301927655,2.961950026,0,0,0.799324324,1273.734874,22.94523312,27.33589492,9.454448597,GRSM_064E_2017.CSV,8.745880734,8.198493379,8.62683766,91.37316234,35.933,399.75,7.25,0.907610353,23.49107856
9,GRSM_64,GRSM_64w,GRSM_064W_2017.CSV,2017,15.40188558,5.795340823,33.58597525,16.43059357,40,13.875,4.478638627,8.747710323,36.855,27.61085,6.535129626,2.394811889,0,0,0.705921053,4209.460874,51.91843095,38.90934851,7.555904886,GRSM_064W_2017.CSV,11.9116272,8.280292807,3.934665128,96.06533487,36.855,411.85,5.375,0.946639678,30.71621829
10,GRSM_65,GRSM_65c,GRSM_065C_2017.CSV,2017,10.63679109,4.539247083,20.60476408,11.54257206,40,9.025,4.532942295,5.298705696,27.018,18.565,6.30749383,2.566041688,0,0,0.691071429,579.5104517,17.72754184,16.28633513,5.850315968,GRSM_065C_2017.CSV,8.066783554,5.766676839,8.416556749,91.58344325,27.018,398.15,6.625,0.918087267,21.50071839
11,GRSM_65,GRSM_65e,GRSM_065E_2017.CSV,2017,13.44136362,4.869259888,23.70969185,14.27540562,40,13.425,5.802979288,7.274428341,27.369,20.18385,6.483963515,2.53621612,1,0.025,0.654464286,625.9370848,19.87023622,15.20232868,5.236250981,GRSM_065E_2017.CSV,10.37633402,5.39117412,8.669247197,91.3307528,27.475,374.725,5.625,0.942202904,23.46373179
12,GRSM_66,GRSM_66c,GRSM_066C_2017.CSV,2017,15.81688221,7.323780833,53.63776569,17.39168147,40,14.775,4.874671309,9.765159156,34.558,25.72045,5.182649458,2.018270538,2,0.05,0.779861111,2770.770522,38.59198384,35.79705722,8.327254905,GRSM_066C_2017.CSV,13.27406028,8.907278621,16.87378249,83.12621751,35.805,372.3,5.95,0.939508322,25.81274082
13,GRSM_66,GRSM_66e,GRSM_066E_2017.CSV,2017,17.19225107,5.999925027,35.99910033,18.18440595,40,16.725,6.411886743,8.360430304,32.558,24.1603,5.597009799,2.573818713,0,0,0.777205882,1209.567642,23.04965719,26.04382741,5.789765551,GRSM_066E_2017.CSV,14.98015186,7.961527406,9.819360815,90.18063918,32.558,323.975,5.2,0.927229307,23.76624385
14,GRSM_55,GRSM_55c,GRSM_55C.CSV,2016,11.55674053,8.048360015,64.77609893,14.02551062,40,10.8,7.849069433,10.46655234,34.733,21.0425,6.833868891,3.219361296,0,0,0.773611111,2779.105929,34.4561734,39.89834637,11.11612069,GRSM_55C.CSV,7.02854125,6.843510124,2.575352082,97.42464792,34.733,569.95,9.25,0.945454016,27.19447288
15,GRSM_55,GRSM_55e,GRSM_55E.CSV,2016,11.79029297,6.470288303,41.86463072,13.41003442,40,11.625,7.477311222,8.67855447,37.03,18.19715,7.867390749,4.003102417,0,0,0.821052632,3215.651144,32.77508312,46.27575035,10.04684803,GRSM_55E.CSV,6.96161313,5.98191594,1.121920927,98.87807907,37.03,604,10.025,0.934996754,25.3369863
16,GRSM_55,GRSM_55w,GRSM_55W.CSV,2016,16.09679009,6.991066397,48.87500936,17.51455924,40,16.65,7.882642154,9.544900639,37.836,24.864725,7.311521188,2.553130013,0,0,0.706410256,3005.996506,43.75041841,33.04387077,9.320712389,GRSM_55W.CSV,10.30687789,8.521841743,4.128996179,95.87100382,37.836,536.575,7.7,0.922207198,29.73688687
17,GRSM_57,GRSM_57c,GRSM_57C.CSV,2016,15.56135846,7.202544672,51.87664976,17.10951813,40,14.575,5.59559073,10.96354682,39.434,27.1469,7.180861039,2.673899348,0,0,0.695625,3809.933753,46.96124402,40.05715059,10.23267674,GRSM_57C.CSV,11.21513314,8.620162006,2.040474996,97.959525,39.434,747.5,6.75,0.964872376,34.96520714
18,GRSM_57,GRSM_57e,GRSM_57E.CSV,2016,17.09732703,7.118202444,50.66880603,18.48568845,40,17.025,7.891552321,9.555472321,32.838,23.877875,6.2842187,2.511566396,0,0,0.733088235,2407.682272,35.32953538,34.05152276,7.450014687,GRSM_57E.CSV,12.37768324,8.61358434,12.12716337,87.87283663,32.838,611.15,4.975,0.957072482,28.14975433
