plot,filename,year,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
9237,Pearsall_NE_9237_072514.CSV,2014,10.23564653,2.728369615,7.444000756,10.57545558,20,11.75,5.042736726,4.505844158,23.941,15.48645,7.974466296,2.620910467,0,0,0.65,473.9764867,17.39811361,13.08747988,5.246610841,Pearsall_NE_9237_072514.CSV,5.939192387,3.321339312,0.045568467,99.95443153,23.941,439.15,7.2,0.745608863,15.36628199
9239,Pearsall_NE_9239_081314.CSV,2014,17.52053161,6.250478899,39.06848646,18.54950377,20,17.6,6.397077721,9.757048734,31.728,26.3605,6.911738681,2.453575096,0,0,0.618181818,1765.589305,36.95870734,19.99107944,6.962248053,Pearsall_NE_9239_081314.CSV,13.34179687,7.386509315,5.310688772,94.68931123,31.728,371.2,7.3,0.907961261,27.02297872
9240,Pearsall_NE_9240_081314.CSV,2014,11.0679733,4.438204339,19.69765775,11.88329953,20,10.75,4.675778726,6.487842882,30.731,18.9671,7.614003351,2.806174809,0,0,0.675,676.2430605,19.93226978,16.70172692,7.448487355,Pearsall_NE_9240_081314.CSV,6.981077545,4.375642842,0.827603769,99.17239623,30.731,392.95,6.75,0.795659623,18.94220665
9271,Pearsall_NE_9271_081314.CSV,2014,9.424741064,4.179892235,17.4714991,10.26760285,20,10.15,3.723237297,7.982052236,31.479,20.73035,7.684180564,2.435469224,0,0,0.6390625,817.8535487,21.49539886,18.86269802,5.936610971,Pearsall_NE_9271_081314.CSV,6.560393171,4.431321164,0.376624954,99.62337505,31.479,411.8,7.7,0.794867368,21.38717435
9329,Pearsall_NE_9329_081314.CSV,2014,13.21487085,5.970185294,35.64311244,14.43931329,20,12.95,5.595823251,9.236512215,26.241,23.1226,7.723698975,2.919556477,0,0,0.566666667,1285.890618,32.19314326,15.79532037,2.347465518,Pearsall_NE_9329_081314.CSV,8.680200101,6.844602949,0.314228255,99.68577174,26.241,398.05,3.3,0.896215207,22.20437956
9333,Pearsall_NE_9333_081314.CSV,2014,13.59205676,5.928647042,35.14885575,14.76940825,20,13.2,5.582372563,9.627810594,28.179,23.26655,7.366695819,2.547938348,0,0,0.575862069,2073.186224,40.83362426,20.14451175,4.619756925,Pearsall_NE_9333_081314.CSV,8.931353677,6.738509337,1.065523576,98.93447642,28.179,408.5,6.35,0.921949845,24.88322368
9427,Pearsall_NE_9427_072514.CSV,2014,16.06646635,5.909972037,34.92776947,17.06788569,20,16.8,3.872405793,7.578362551,30.112,21.38935,7.638452321,2.583827778,0,0,0.661290323,1390.432794,29.72501014,22.51347522,6.763587356,Pearsall_NE_9427_072514.CSV,10.40367108,7.741429207,1.697727853,98.30227215,30.112,391.95,6.65,0.912432156,24.09836066
9428,Pearsall_NE_9428_081314.CSV,2014,17.81765005,5.858695667,34.32431492,18.71033812,20,17.7,5.453115869,7.994076755,31.125,23.8907,7.13156887,2.636126294,0,0,0.684375,1690.685521,30.05837489,28.05672148,4.970998122,Pearsall_NE_9428_081314.CSV,12.68160407,7.863725665,4.145493447,95.85450655,31.125,374.15,4.8,0.930155481,25.40722291
9453,Pearsall_NE_9453_081314.CSV,2014,10.53999121,4.949797596,24.50049624,11.59167313,20,8.45,5.980750834,6.85546267,29.834,20.8168,6.708086112,2.5664496,0,0,0.643548387,1756.345628,33.51065397,25.16707569,7.407437604,Pearsall_NE_9453_081314.CSV,7.803314302,6.735979811,4.55026455,95.44973545,29.834,378.25,4.75,0.888179224,23.38008617
9454,Pearsall_NE_9454_072514.CSV,2014,13.14314292,3.437029905,11.81317457,13.56335953,20,14,3.754753251,7.92730126,32,21.1718,7.775850422,2.54557387,0,0,0.666666667,1915.326762,36.50323703,24.14208873,4.915283454,Pearsall_NE_9454_072514.CSV,8.108553228,5.84834211,0.422093584,99.57790642,32,414.85,4.4,0.891143454,23.91304348
