,quadrat,ba.sum,dead.hem.ba.sum,dead.per,cluster,logit
16,711,19555.27544,1677.626185,0.079208629,1,1
17,712,25504.65082,2418.468711,0.092754006,1,1
18,713,20649.90057,2774.081291,0.106816947,1,1
19,714,24236.86896,3265.457798,0.130218922,1,1
20,715,22605.36921,4002.978089,0.177080854,1,1
21,716,17426.92496,2105.526812,0.110544355,1,1
22,717,20473.72005,5125.209963,0.245856694,1,1
23,718,15030.62018,1020.357878,0.030894711,3,0
24,719,21073.96845,2909.271877,0.096149739,3,0
25,720,22649.02949,281.1568345,0.008576638,3,0
26,721,19298.56805,2586.104095,0.073637559,3,0
27,722,19923.27375,2726.439038,0.093952009,3,0
28,723,19458.00388,2156.624817,0.017294659,3,0
29,724,18981.58135,2746.270342,0.008959744,3,0
30,725,19014.3246,2786.380626,0.057549033,3,0
31,811,28492.95732,2731.536272,0.088688684,3,0
32,812,23411.6354,3515.505011,0.150160591,3,0
33,813,23328.43032,4672.624271,0.15345686,3,0
34,814,17522.56289,1267.593366,0.072340637,3,0
35,815,24627.45532,1452.790253,0.058643382,3,0
36,816,31573.14754,1971.522178,0.062443004,3,0
37,817,20078.24066,598.7954138,0.024559534,3,0
38,818,24344.41353,6467.376884,0.242579833,3,0
39,819,15177.14407,859.6025819,0.034942305,3,0
40,820,20361.54163,1036.45854,0.019673969,3,0
