"","x","y","layer","x","y","layer"
"1",731407.835129527,4713704.36547209,0.858042924023057,731400,4713720,0.900063789070806
"2",731437.735129527,4713704.36547209,0.858827247046068,731430,4713720,0.89987217724755
"3",731467.635129527,4713704.36547209,0.859413749577713,731460,4713720,0.894407158836689
"4",731497.535129527,4713704.36547209,0.866187649926045,731490,4713720,0.897559903275445
"5",731527.435129527,4713704.36547209,0.860596951395046,731520,4713720,0.894054537326777
"6",731557.335129527,4713704.36547209,0.861404296391112,731550,4713720,0.896776911733727
"7",731587.235129527,4713704.36547209,0.861893963394743,731580,4713720,0.892307692307692
"8",731617.135129527,4713704.36547209,0.844944811978254,731610,4713720,0.894643254056457
"9",731647.035129527,4713704.36547209,0.849305087321774,731640,4713720,0.888474101726552
"10",731676.935129527,4713704.36547209,0.848028598306645,731670,4713720,0.880619012527635
"11",731706.835129527,4713704.36547209,0.854230696358689,731700,4713720,0.881822734101152
"12",731736.735129527,4713704.36547209,0.849134960886333,731730,4713720,0.881618245995113
"13",731766.635129527,4713704.36547209,0.832142107843239,731760,4713720,0.86737400530504
"14",731796.535129527,4713704.36547209,0.827116526755292,731790,4713720,0.855664174813111
"15",731826.435129527,4713704.36547209,0.84991287852974,731820,4713720,0.868279569892473
"16",731856.335129527,4713704.36547209,0.851357250486979,731850,4713720,0.872708224201152
"17",731886.235129527,4713704.36547209,0.843333864843253,731880,4713720,0.88857938718663
"18",731916.135129527,4713704.36547209,0.840516209849508,731910,4713720,0.888151658767772
"19",731946.035129527,4713704.36547209,0.838453487110863,731940,4713720,0.888296521959888
"20",731975.935129527,4713704.36547209,0.849019344734169,731970,4713720,0.882352941176471
"21",732005.835129527,4713704.36547209,0.842529025926403,732000,4713720,0.882441220610305
"22",732035.735129527,4713704.36547209,0.83686934442542,732030,4713720,0.884352135945244
"23",732065.635129527,4713704.36547209,0.837316672720655,732060,4713720,0.882823529411765
"24",732095.535129527,4713704.36547209,0.845024046614745,732090,4713720,0.892614408699592
"25",732125.435129527,4713704.36547209,0.852516366037196,732120,4713720,0.899868247694335
"26",732155.335129527,4713704.36547209,0.856973651055127,732150,4713720,0.899163269684617
"27",732185.235129527,4713704.36547209,0.855588085254588,732180,4713720,0.898960498960499
