tag,stem.tag,sp,quadrat,status.initial,status.2016,dbh
71535,71535,betupa,718,A,O,22.9
71536,71536,tsugca,718,A,A,16.7
71536,71537,tsugca,718,A,A,13.3
71538,71538,betule,718,A,O,8
71539,71539,tsugca,718,A,D,4.1
71540,71540,acerru,718,A,O,23.8
71541,71541,tsugca,718,A,A,11.1
71542,71542,tsugca,718,D,D,6.8
71543,71543,tsugca,718,A,A,6.9
71544,71544,tsugca,718,A,D,4.2
71545,71545,tsugca,718,A,A,20.4
71546,71546,tsugca,718,D,D,5
71547,71547,tsugca,718,A,A,4.5
71548,71548,betule,718,A,O,24.2
71549,71549,tsugca,718,A,A,22.3
71550,71550,tsugca,718,A,A,15.8
71551,71551,tsugca,718,A,A,44
71552,71552,tsugca,718,A,D,5.5
71553,71553,deadhw,718,D,D,15.5
71554,71554,acerru,718,A,O,10.8
71555,71555,acerru,718,A,O,12.4
71556,71556,acerru,718,A,O,15.7
71557,71557,tsugca,718,A,D,5.7
71558,71558,tsugca,718,A,D,1.7
71559,71559,tsugca,718,A,D,2
71560,71560,acerru,718,A,O,17.8
71561,71561,tsugca,718,A,D,4
71562,71562,acerru,718,A,O,16.6
71563,71563,tsugca,718,A,D,12
71564,71564,tsugca,718,A,D,1.7
71565,71565,acerpe,718,D,D,15.4
71565,71566,acerpe,718,D,D,8.9
71567,71567,tsugca,719,A,A,18.2
71568,71568,betule,719,A,A,9.8
71569,71569,tsugca,719,A,A,7.7
71570,71570,tsugca,719,A,A,4.7
71571,71571,fagugr,719,A,A,8.9
71572,71572,betule,719,A,A,6.2
71573,71573,tsugca,719,A,A,20.3
71574,71574,querru,719,A,A,22.7
71575,71575,tsugca,719,A,D,3.4
71576,71576,betule,719,A,D,5.1
71577,71577,betule,719,A,D,7.4
71578,71578,tsugca,719,A,A,1.2
71579,71579,tsugca,719,A,A,14.2
71580,71580,prunse,719,A,A,15.5
71581,71581,betule,719,A,A,9.2
71582,71582,tsugca,719,A,A,1.7
71583,71583,tsugca,719,A,A,11
71584,71584,tsugca,719,A,A,9.3
71585,71585,tsugca,719,D,D,11.4
71586,71586,tsugca,719,A,A,29.6
71587,71587,tsugca,719,A,A,10.8
71588,71588,tsugca,719,A,D,1.9
71589,71589,tsugca,719,A,A,6.9
71590,71590,tsugca,719,A,D,3.9
71591,71591,tsugca,719,A,D,3.8
71592,71592,tsugca,719,A,A,2
71593,71593,tsugca,719,A,A,17.5
71594,71594,tsugca,719,A,A,14.5
71595,71595,acerru,719,A,D,3.3
71596,71596,tsugca,719,A,D,3
71597,71597,tsugca,719,A,A,8.3
71597,71598,tsugca,719,A,A,5.4
71599,71599,betule,719,A,A,12.7
71600,71600,tsugca,719,A,A,3.3
71601,71601,tsugca,719,A,A,3.4
71602,71602,betule,719,A,A,17.2
71603,71603,betupa,719,A,A,27.3
71603,71604,betupa,719,A,A,6.3
71605,71605,tsugca,719,A,A,2.1
71606,71606,tsugca,719,A,A,12.6
71607,71607,tsugca,719,A,A,14.5
71608,71608,tsugca,719,A,D,20.4
71609,71609,tsugca,719,A,A,27.8
71610,71610,tsugca,719,D,D,7.9
71611,71611,tsugca,719,A,A,9.5
71612,71612,acerru,719,A,A,14.5
71613,71613,tsugca,719,D,D,5.4
71614,71614,acerru,719,A,A,9.4
71615,71615,tsugca,719,A,A,15.4
71616,71616,tsugca,719,A,A,7.6
71617,71617,tsugca,719,A,A,8.5
71618,71618,acerru,719,A,A,18.1
71619,71619,tsugca,719,A,D,8
71620,71620,tsugca,719,A,D,10.1
71621,71621,tsugca,719,A,D,3.9
71622,71622,tsugca,719,A,A,9.6
71623,71623,querru,719,A,A,30.5
71624,71624,tsugca,719,A,A,13.6
71625,71625,tsugca,719,A,A,19.4
71626,71626,tsugca,719,A,A,15.4
71627,71627,tsugca,719,A,A,15.4
71628,71628,betule,719,A,D,7.8
71629,71629,tsugca,719,A,D,2.9
71630,71630,tsugca,719,A,A,13.2
71631,71631,tsugca,719,A,A,12.6
71632,71632,tsugca,719,A,A,6.2
71633,71633,betule,719,A,A,15.5
71634,71634,betule,719,A,D,4.7
71635,71635,tsugca,719,A,A,9.1
71636,71636,tsugca,719,A,A,13.6
71637,71637,tsugca,719,A,A,5.6
71638,71638,tsugca,719,A,A,7.8
71639,71639,tsugca,719,A,A,6.5
71640,71640,tsugca,719,A,A,16.4
71641,71641,tsugca,719,D,D,28.5
71642,71642,betule,719,A,A,16.2
71642,71643,betule,719,A,A,11.2
71644,71644,betule,719,D,D,27.3
71645,71645,tsugca,719,A,A,17.7
71646,71646,acerru,719,A,A,18.7
71647,71647,acerru,719,A,A,5.7
71648,71648,querru,719,A,A,31.3
71649,71649,tsugca,719,A,D,8.4
71650,71650,acerru,719,A,A,18.7
71651,71651,tsugca,719,A,A,6.3
71652,71652,tsugca,719,A,A,5.1
71653,71653,tsugca,719,A,A,14.7
71654,71654,tsugca,719,A,D,2
71655,71655,tsugca,719,A,A,12.8
71656,71656,tsugca,719,A,A,24.7
71657,71657,tsugca,719,A,D,5
71658,71658,tsugca,719,A,D,8.9
71659,71659,acerru,719,A,A,8.5
71660,71660,tsugca,719,A,A,18.1
71661,71661,tsugca,719,A,A,1.2
71662,71662,tsugca,719,A,A,6
71663,71663,tsugca,719,A,A,2.5
71664,71664,tsugca,719,A,A,10
71665,71665,acerru,719,A,A,20.8
71665,71666,acerru,719,A,A,12.2
71665,71667,acerru,719,A,A,18.5
71665,71668,acerru,719,A,A,14
71665,71669,acerru,719,A,A,14.7
71665,71670,acerru,719,D,D,8.9
71671,71671,querru,719,A,D,9.8
71672,71672,tsugca,719,A,A,34.2
71672,71673,tsugca,719,A,A,28.3
71674,71674,tsugca,719,A,A,11.3
71675,71675,tsugca,719,A,D,1.3
71676,71676,betule,719,A,A,10.6
71676,71677,betule,719,A,A,10.3
71678,71678,tsugca,719,A,A,6.8
71679,71679,betule,719,A,A,9
71680,71680,tsugca,719,A,D,9
71681,71681,tsugca,719,A,A,28.2
71681,71682,tsugca,719,A,A,27.5
71683,71683,tsugca,719,A,A,10.8
71684,71684,betule,719,A,A,10.5
71685,71685,betule,719,A,A,19.5
71686,71686,tsugca,719,A,A,6.7
71687,71687,tsugca,719,A,A,8.4
71688,71688,betule,719,A,A,11.6
71688,71689,betule,719,A,A,11.5
71690,71690,tsugca,719,A,A,12.7
71691,71691,betule,719,A,A,15.3
71691,71692,betule,719,A,A,16.7
71693,71693,tsugca,719,A,A,1.6
71694,71694,tsugca,719,A,A,1.6
71695,71695,acerru,719,A,A,14.2
71696,71696,tsugca,719,D,D,22.5
71696,71697,tsugca,719,A,A,21.8
71698,71698,tsugca,719,A,A,5.1
71699,71699,betule,719,A,A,11.3
71699,71700,betule,719,A,A,6.9
71699,71701,betule,719,A,D,5.4
71702,71702,tsugca,719,A,A,3
71703,71703,betule,719,A,A,10.7
71704,71704,tsugca,719,A,A,6.8
71705,71705,tsugca,719,A,A,15.3
71706,71706,tsugca,719,D,D,10.9
71707,71707,tsugca,719,A,A,6.9
71708,71708,acerru,720,A,A,17.9
71709,71709,tsugca,720,A,A,15.2
71710,71710,acerru,720,A,D,4.3
71711,71711,acerru,720,A,A,16
71712,71712,acerru,720,A,A,15.6
71713,71713,betupa,720,A,A,33.2
71714,71714,tsugca,720,A,A,11.7
71715,71715,tsugca,720,A,A,6.5
71715,71716,tsugca,720,A,A,3.8
71717,71717,tsugca,720,A,A,39.8
71718,71718,tsugca,720,A,A,2.5
71719,71719,tsugca,720,A,A,24.9
71720,71720,tsugca,720,A,D,7.5
71721,71721,tsugca,720,A,D,1.1
71722,71722,tsugca,720,A,D,2.5
71723,71723,tsugca,720,D,D,6.4
71724,71724,tsugca,720,A,A,2.8
71725,71725,tsugca,720,A,A,14.4
71726,71726,tsugca,720,A,A,21.2
71727,71727,tsugca,720,A,A,16.6
71728,71728,acerru,720,A,A,19.7
71729,71729,tsugca,720,A,D,1.3
71730,71730,kalmla,720,A,A,2
71731,71731,tsugca,720,A,A,35.4
71732,71732,tsugca,720,A,A,7.9
71733,71733,tsugca,720,A,A,36.3
71734,71734,tsugca,720,A,A,34.1
71734,71735,tsugca,720,A,A,31.7
71736,71736,tsugca,720,A,A,33.8
71736,71737,tsugca,720,A,A,26.9
71738,71738,pinust,720,A,A,32.1
71739,71739,tsugca,720,A,A,31.2
71740,71740,tsugca,720,A,A,45.5
71740,71741,tsugca,720,A,A,40.9
71742,71742,tsugca,720,A,A,26.2
71743,71743,tsugca,720,A,A,5.3
71744,71744,tsugca,720,A,A,31.2
71745,71745,tsugca,720,A,A,14
71746,71746,acerru,720,A,A,39.2
71747,71747,tsugca,720,A,A,18.7
71748,71748,tsugca,720,A,D,11.2
71749,71749,tsugca,720,A,A,22.4
71749,71750,tsugca,720,A,A,8.9
71751,71751,deadhw,720,D,D,9.6
71752,71752,querru,720,A,A,40.7
71753,71753,tsugca,720,A,A,2.7
71754,71754,tsugca,720,A,A,31.9
71755,71755,tsugca,720,A,A,21.7
71756,71756,querru,720,A,A,47.6
71757,71757,tsugca,720,A,A,18.6
71758,71758,tsugca,720,A,A,1.4
71759,71759,tsugca,720,A,D,2.3
71760,71760,tsugca,720,A,A,7.7
71761,71761,tsugca,720,A,D,3.2
71762,71762,tsugca,721,A,A,29.8
71763,71763,tsugca,721,A,D,12.9
71764,71764,acerru,721,A,A,21.3
71765,71765,tsugca,721,A,A,10.1
71766,71766,tsugca,721,A,A,6.9
71767,71767,tsugca,721,A,A,26.5
71768,71768,tsugca,721,A,A,28.7
71769,71769,tsugca,721,A,A,4.7
71770,71770,betule,721,A,A,18.8
71771,71771,tsugca,721,A,A,37.4
71772,71772,tsugca,721,A,A,1.1
71773,71773,tsugca,721,A,A,35.5
71774,71774,tsugca,721,A,A,40
71775,71775,pinust,721,A,D,19
71776,71776,betuxx,721,D,D,13.2
71777,71777,pinust,721,D,D,10.5
71778,71778,querru,721,A,A,33.2
71779,71779,tsugca,721,A,A,19.9
71780,71780,querru,721,A,A,25.5
71781,71781,betule,721,A,A,13.5
71782,71782,tsugca,721,D,D,16.2
71783,71783,tsugca,721,D,D,12.4
71784,71784,tsugca,721,A,A,23.7
71785,71785,betule,721,A,A,14.1
71786,71786,tsugca,721,A,A,13.9
71787,71787,tsugca,721,A,A,24.3
71788,71788,tsugca,721,A,A,11.1
71789,71789,tsugca,721,A,A,3
71790,71790,tsugca,721,A,A,13.3
71791,71791,tsugca,721,A,A,11.2
71792,71792,tsugca,721,D,D,10
71793,71793,tsugca,721,A,A,25.1
71794,71794,tsugca,721,A,A,20.8
71795,71795,tsugca,721,A,A,25.7
71796,71796,tsugca,721,A,D,11.7
71797,71797,betule,721,D,D,16.4
71797,71798,betule,721,D,D,12
71799,71799,tsugca,721,A,A,19.6
71800,71800,tsugca,721,A,D,11
71801,71801,tsugca,721,D,D,11.6
71802,71802,tsugca,721,A,A,14.4
71803,71803,tsugca,721,A,A,31.4
71804,71804,tsugca,721,A,A,11.7
71805,71805,tsugca,721,A,A,29.3
71806,71806,pinust,721,D,D,8.6
71807,71807,tsugca,721,A,A,1.7
71808,71808,tsugca,721,A,A,1.1
71809,71809,betupa,721,D,D,6
71810,71810,tsugca,721,A,A,4.6
71811,71811,tsugca,721,A,D,13.9
71812,71812,tsugca,721,A,A,11.8
71813,71813,tsugca,721,A,A,9.1
71814,71814,tsugca,721,A,D,1.7
71815,71815,tsugca,721,A,A,31.4
71816,71816,tsugca,721,A,D,23.2
71817,71817,tsugca,721,A,A,35.2
71818,71818,tsugca,721,A,A,1.2
71819,71819,tsugca,721,A,A,2.2
71820,71820,pinust,721,A,D,13.6
71821,71821,tsugca,721,A,A,35.7
71822,71822,pinust,721,D,D,11.4
71823,71823,tsugca,721,A,A,35.6
71824,71824,betupa,722,A,A,17.5
71825,71825,tsugca,722,A,A,12.9
71826,71826,betuxx,722,D,D,14.2
71827,71827,tsugca,722,A,D,3.7
71828,71828,tsugca,722,A,A,3.2
71829,71829,tsugca,722,A,A,3.2
71830,71830,tsugca,722,A,A,4.3
71831,71831,tsugca,722,A,A,28.2
71832,71832,tsugca,722,A,A,19.7
71833,71833,betule,722,A,A,19.1
71834,71834,tsugca,722,D,D,10
71835,71835,tsugca,722,A,A,23.3
71836,71836,tsugca,722,D,D,11.3
71837,71837,tsugca,722,A,D,12.8
71838,71838,tsugca,722,A,A,23.3
71839,71839,betule,722,A,A,24.7
71840,71840,tsugca,722,A,A,23.9
71841,71841,betule,722,A,A,17.4
71841,71842,betule,722,D,D,18.5
71843,71843,pinust,722,D,D,13.4
71844,71844,pinust,722,D,D,10.5
71845,71845,pinust,722,A,A,43
71846,71846,tsugca,722,A,D,16.9
71847,71847,tsugca,722,A,A,21.2
71848,71848,acerru,722,A,A,33
71849,71849,tsugca,722,A,A,40.3
71850,71850,tsugca,722,A,A,9.1
71851,71851,nysssy,722,A,D,2.9
71852,71852,pinust,722,A,A,25.3
71853,71853,betuxx,722,D,D,7.5
71854,71854,betupa,722,A,A,7.8
71855,71855,vaccco,722,A,A,1.5
71856,71856,vaccco,722,A,A,1.1
71856,71857,vaccco,722,A,A,1.4
71858,71858,betupa,722,A,A,17.8
71859,71859,betupa,722,D,D,12.1
71860,71860,tsugca,722,A,D,16.5
71861,71861,betupa,722,A,A,18.2
71862,71862,fraxam,722,A,A,13.4
71863,71863,tsugca,722,A,A,8.1
71864,71864,betuxx,722,D,D,5.7
71865,71865,kalmla,722,A,A,2
71865,71866,kalmla,722,A,A,1.3
71867,71867,kalmla,722,A,A,1
71868,71868,kalmla,722,A,D,2
71868,71869,kalmla,722,A,D,1
71870,71870,kalmla,722,A,D,1.4
71871,71871,kalmla,722,A,A,3
71871,71872,kalmla,722,A,D,1.3
71873,71873,kalmla,722,A,D,1.1
71873,71874,kalmla,722,A,D,1
71875,71875,kalmla,722,A,A,1.2
71875,71876,kalmla,722,A,A,1.1
71875,71877,kalmla,722,A,A,1
71878,71878,tsugca,722,A,A,4.9
71879,71879,piceru,722,A,A,31.2
71880,71880,tsugca,722,A,A,26.9
71881,71881,tsugca,722,A,A,27.4
71882,71882,tsugca,722,A,A,25.8
71883,71883,tsugca,722,A,A,31.1
71884,71884,tsugca,722,A,A,28.8
71885,71885,tsugca,722,A,D,20.7
71886,71886,tsugca,722,A,A,22.3
71887,71887,pinust,722,A,A,40.8
71888,71888,tsugca,722,A,D,18.7
71889,71889,tsugca,722,A,A,27.9
71890,71890,tsugca,722,A,A,20.7
71891,71891,betual,722,A,A,10.8
71892,71892,tsugca,722,A,D,19.3
71893,71893,tsugca,722,D,D,14.5
71894,71894,pinust,722,A,A,20
71895,71895,tsugca,722,A,A,30.9
71896,71896,tsugca,722,D,D,7.7
71897,71897,tsugca,722,A,A,27.9
71898,71898,acerru,723,A,A,23
71899,71899,betual,723,A,D,6
71900,71900,tsugca,723,A,A,18.9
71901,71901,betual,723,A,A,4.8
71902,71902,betual,723,A,A,15.4
71903,71903,betual,723,A,A,12
71904,71904,acerru,723,A,A,27.1
71904,71905,acerru,723,A,A,20.8
71904,71906,acerru,723,A,D,16.5
71904,71907,acerru,723,A,D,13.5
71904,71908,acerru,723,A,A,20.5
71909,71909,kalmla,723,A,A,2.8
71909,71910,kalmla,723,A,A,1.4
71911,71911,betual,723,A,A,11.8
71912,71912,betual,723,A,A,7.4
71913,71913,tsugca,723,A,D,11.7
71914,71914,betule,723,A,A,19.1
71915,71915,tsugca,723,A,A,23.7
71916,71916,tsugca,723,A,A,10.3
71917,71917,tsugca,723,A,A,3.5
71918,71918,acerru,723,A,D,18.1
71919,71919,betual,723,A,A,14.2
71920,71920,tsugca,723,A,A,30
71921,71921,betual,723,A,A,13.1
71922,71922,acerru,723,A,A,12.4
71923,71923,tsugca,723,A,A,15.3
71924,71924,tsugca,723,A,A,3.7
71925,71925,tsugca,723,A,A,7.4
71926,71926,betual,723,A,A,10
71927,71927,betual,723,A,A,8.8
71928,71928,ilexve,723,A,D,1.1
71929,71929,betual,723,A,D,6.8
71930,71930,tsugca,723,A,A,20.4
71930,71931,tsugca,723,A,A,11.6
71932,71932,tsugca,723,A,D,2
71933,71933,tsugca,723,A,A,12
71934,71934,tsugca,723,A,A,13.8
71935,71935,tsugca,723,A,A,3.4
71936,71936,nysssy,723,A,A,28.3
71937,71937,tsugca,723,A,D,3.1
71938,71938,tsugca,723,A,A,9.2
71939,71939,ilexve,723,A,O,2
71939,71940,ilexve,723,A,O,1.9
71941,71941,betual,723,A,A,11.3
71941,71942,betual,723,A,A,4.5
71943,71943,betual,723,A,D,5.7
71944,71944,ilexve,723,A,D,1.1
71945,71945,pinust,723,A,A,20.5
71946,71946,ilexve,723,A,O,1.8
71947,71947,ilexve,723,A,O,2
71947,71948,ilexve,723,A,O,1.8
71949,71949,ilexve,723,A,O,1.7
71950,71950,ilexve,723,A,D,1.6
71951,71951,ilexve,723,A,O,1.6
71952,71952,ilexve,723,A,O,1
71953,71953,ilexve,723,A,O,2.5
71953,71954,ilexve,723,A,O,2.5
71955,71955,ilexve,723,A,D,2
71956,71956,pinust,723,D,D,29.9
71957,71957,betual,723,A,A,18.7
71958,71958,vaccco,723,A,D,2.6
71959,71959,kalmla,723,A,A,1.4
71959,71960,kalmla,723,A,D,1
71961,71961,vaccco,723,A,A,2.2
71962,71962,ilexve,723,A,D,1.6
71963,71963,ilexve,723,A,O,1.2
71964,71964,kalmla,723,A,A,1
71965,71965,tsugca,723,A,A,21.5
71966,71966,tsugca,723,A,A,28
71967,71967,amella,723,A,A,1.3
71967,71968,amella,723,A,O,1.8
71969,71969,tsugca,723,A,A,21.5
71970,71970,tsugca,723,A,A,14.5
71971,71971,pinust,723,A,A,34.2
71972,71972,acerru,723,A,A,17
71973,71973,betual,723,A,A,10.2
71974,71974,kalmla,723,A,A,1.6
71975,71975,pinust,723,A,A,50.7
71976,71976,kalmla,723,A,A,2.2
71977,71977,acerru,723,A,D,9.7
71978,71978,betual,723,A,A,3
71979,71979,piceru,723,D,D,6.1
71980,71980,betual,723,D,D,16.3
71981,71981,acerru,723,A,A,11
71982,71982,kalmla,723,A,A,2.5
71982,71983,kalmla,723,A,A,2.5
71984,71984,kalmla,723,A,A,3.3
71985,71985,betual,723,A,A,10.9
71986,71986,ilexve,723,A,O,1.3
71986,71987,ilexve,723,A,O,1.2
71988,71988,tsugca,723,A,A,12.1
71989,71989,betual,723,A,A,16
71990,71990,betual,723,A,D,9
71991,71991,kalmla,723,A,D,4.8
71992,71992,kalmla,723,A,A,3.4
71993,71993,tsugca,723,A,A,11.2
71994,71994,acerru,723,A,A,24.4
71994,71995,acerru,723,A,A,25.3
71994,71996,acerru,723,A,A,20.5
71997,71997,tsugca,723,A,A,13.1
71998,71998,tsugca,723,A,A,15.3
71999,71999,tsugca,723,A,A,21.4
72000,72000,tsugca,723,A,A,19.5
72001,72001,tsugca,723,A,A,10.2
72002,72002,tsugca,723,A,D,10.6
72002,72003,tsugca,723,D,D,10
72004,72004,tsugca,723,A,A,13.1
72005,72005,pinust,723,A,A,37.5
72006,72006,tsugca,723,A,A,6.5
72007,72007,tsugca,723,A,A,32.4
72007,72008,tsugca,723,A,A,16.6
72009,72009,kalmla,723,A,A,1.1
72010,72010,kalmla,723,A,A,1.9
72011,72011,nysssy,723,A,A,20.4
72012,72012,tsugca,723,A,D,8.1
72013,72013,ilexve,723,A,D,2.5
72014,72014,betupa,724,A,A,16.5
72015,72015,tsugca,724,A,A,1.6
72016,72016,tsugca,724,D,A,7.3
72017,72017,acerru,724,A,A,28.2
72017,72018,acerru,724,A,A,21.1
72017,72019,acerru,724,A,A,19.6
72017,72020,acerru,724,A,A,15.6
72017,72021,acerru,724,A,A,18.7
72022,72022,piceru,724,A,A,21.6
72023,72023,tsugca,724,A,A,13.4
72024,72024,tsugca,724,A,A,22.9
72025,72025,tsugca,724,A,A,5.4
72026,72026,tsugca,724,A,A,17.8
72027,72027,nysssy,724,A,A,21.3
72028,72028,tsugca,724,A,A,12.5
72029,72029,ilexve,724,A,D,1.1
72030,72030,ilexve,724,A,D,1.2
72031,72031,pinust,724,A,A,16.4
72032,72032,ilexve,724,A,D,1.7
72033,72033,ilexve,724,A,A,1.4
72034,72034,ilexve,724,A,A,2.1
72035,72035,acerru,724,A,A,17.6
72036,72036,vaccco,724,A,D,1.9
72037,72037,betual,724,D,D,12.6
72038,72038,betual,724,A,A,7
72039,72039,acerru,724,A,A,14.4
72040,72040,kalmla,724,A,A,2.2
72041,72041,tsugca,724,A,A,21.3
72042,72042,tsugca,724,A,A,25.2
72043,72043,nysssy,724,A,A,28.9
72044,72044,tsugca,724,D,D,7.3
72045,72045,tsugca,724,A,A,35.3
72046,72046,tsugca,724,A,D,11
72047,72047,acerru,724,A,O,20.2
72048,72048,tsugca,724,A,A,9.2
72049,72049,tsugca,724,A,A,24.6
72050,72050,kalmla,724,A,A,1.5
72051,72051,tsugca,724,A,A,15.7
72052,72052,tsugca,724,A,A,26.8
72053,72053,tsugca,724,A,A,12.7
72054,72054,tsugca,724,D,D,6.5
72055,72055,tsugca,724,A,A,28.2
72056,72056,nysssy,724,A,A,14.7
72057,72057,acerru,724,A,D,22.8
72058,72058,acerru,724,A,A,33.3
72059,72059,kalmla,724,A,A,1.3
72059,72060,kalmla,724,A,A,1.6
72061,72061,pinust,724,A,D,15.7
72062,72062,kalmla,724,A,A,1.2
72063,72063,nysssy,724,A,A,16.2
72064,72064,kalmla,724,A,O,3.7
72065,72065,betual,724,A,A,5.1
72065,72066,betual,724,A,A,2.9
72067,72067,acerru,724,D,D,12.3
72068,72068,betual,724,A,D,7.4
72068,72069,betual,724,A,D,2.9
72070,72070,nysssy,724,A,A,24.5
72071,72071,kalmla,724,A,A,1.1
72072,72072,kalmla,724,A,A,1.2
72073,72073,kalmla,724,A,A,1.1
72074,72074,betual,724,A,A,1.5
72075,72075,betual,724,A,D,8.2
72076,72076,betual,724,A,A,11.4
72077,72077,nysssy,724,A,A,30.2
72078,72078,nemomu,724,A,O,2.2
72079,72079,kalmla,724,A,A,1.5
72080,72080,pinust,724,A,D,36.4
72081,72081,kalmla,724,A,A,1.7
72081,72082,kalmla,724,A,A,1.5
72083,72083,kalmla,724,A,A,2
72083,72084,kalmla,724,A,A,1.1
72085,72085,kalmla,724,A,A,5.8
72086,72086,kalmla,724,A,A,5.2
72087,72087,kalmla,724,A,A,4.3
72087,72088,kalmla,724,A,A,2.1
72087,72089,kalmla,724,A,A,1.8
72090,72090,ilexve,724,A,D,1.7
72091,72091,kalmla,724,A,A,2.7
72092,72092,kalmla,724,A,D,3.3
72092,72093,kalmla,724,A,D,1.9
72094,72094,betual,724,A,D,11
72094,72095,betual,724,A,D,11.4
72096,72096,kalmla,724,A,A,1.6
72096,72097,kalmla,724,A,A,1.1
72098,72098,tsugca,724,A,A,1.2
72099,72099,pinust,724,D,D,15
72100,72100,tsugca,724,A,A,29.1
72101,72101,acerru,724,A,A,21.2
72101,72102,acerru,724,A,A,21.7
72103,72103,tsugca,724,A,A,20.5
72104,72104,kalmla,724,A,A,3.9
72104,72105,kalmla,724,A,A,1.4
72104,72106,kalmla,724,A,A,1.7
72107,72107,ilexve,724,A,O,1
72108,72108,betual,724,A,A,9.2
72109,72109,betual,724,A,A,10.5
72110,72110,acerru,724,A,A,14
72111,72111,vaccco,724,A,D,2.1
72112,72112,kalmla,724,A,A,1.1
72113,72113,kalmla,724,A,A,3.7
72113,72114,kalmla,724,A,A,1.2
72115,72115,kalmla,724,A,A,1.1
72116,72116,kalmla,724,A,A,2.5
72117,72117,kalmla,724,A,D,2
72117,72118,kalmla,724,A,D,1.2
72119,72119,kalmla,724,A,A,3.4
72119,72120,kalmla,724,A,A,2.3
72119,72121,kalmla,724,A,A,2.1
72111,72122,vaccco,724,A,D,1.2
72123,72123,betual,724,A,A,13.3
72124,72124,kalmla,724,A,A,2.8
72124,72125,kalmla,724,A,A,1.7
72124,72126,kalmla,724,A,A,1.2
72127,72127,ilexve,724,A,D,1.8
72128,72128,kalmla,724,A,A,1.8
72128,72129,kalmla,724,A,A,1.4
72130,72130,ilexve,724,A,D,1.7
72131,72131,betuxx,724,D,O,13.3
72132,72132,pinust,724,A,A,26.1
72133,72133,deadhw,724,D,D,11.2
72134,72134,acerru,724,A,A,18.2
72135,72135,betual,724,A,A,12.7
72136,72136,kalmla,724,A,A,2.3
72137,72137,kalmla,724,A,A,3.2
72138,72138,betual,724,A,A,8.5
72139,72139,vaccco,724,A,A,1.4
72139,72140,vaccco,724,A,A,1.4
72141,72141,tsugca,724,A,A,20.6
72142,72142,kalmla,724,A,A,3
72143,72143,kalmla,724,A,A,2.1
72143,72144,kalmla,724,A,A,1.4
72145,72145,kalmla,724,A,O,2.7
72146,72146,ilexve,724,A,A,1.8
72147,72147,ilexve,724,A,O,1.7
72148,72148,ilexve,724,A,O,1.9
72149,72149,vaccco,724,A,A,1.1
72150,72150,piceru,724,A,A,19.3
72151,72151,acerru,724,A,A,20.1
72152,72152,vaccco,724,A,A,2.2
72153,72153,ilexve,724,A,A,2.1
72154,72154,ilexve,724,A,A,1.3
72155,72155,ilexve,724,A,A,1.8
72156,72156,acerru,724,A,D,10.1
72157,72157,ilexve,724,A,D,1
72158,72158,kalmla,724,A,A,3.4
72158,72159,kalmla,724,A,A,3.4
72079,72160,kalmla,724,A,A,1.2
72124,72161,kalmla,724,A,A,1
72162,72162,tsugca,725,A,A,24.8
72163,72163,tsugca,725,A,A,23.9
72164,72164,nysssy,725,A,A,24.7
72165,72165,nysssy,725,A,A,12.8
72166,72166,tsugca,725,A,A,20.2
72167,72167,tsugca,725,A,A,23.8
72168,72168,tsugca,725,A,A,13.2
72169,72169,tsugca,725,A,A,6.8
72170,72170,tsugca,725,A,A,1.8
72171,72171,deadhw,725,D,D,14.9
72172,72172,tsugca,725,A,A,17
72173,72173,acerru,725,A,A,23.9
72174,72174,betual,725,A,D,6.9
72175,72175,tsugca,725,A,A,21
72176,72176,acerru,725,A,A,19.2
72177,72177,tsugca,725,A,A,23
72178,72178,tsugca,725,A,A,18.9
72179,72179,nysssy,725,A,A,11.2
72180,72180,tsugca,725,A,D,15.8
72181,72181,tsugca,725,A,A,18.7
72182,72182,tsugca,725,D,D,10.3
72183,72183,tsugca,725,A,A,15.4
72184,72184,tsugca,725,A,A,2.5
72185,72185,tsugca,725,D,D,12.2
72186,72186,tsugca,725,A,A,37.6
72187,72187,tsugca,725,A,A,13.5
72188,72188,tsugca,725,A,A,20.1
72189,72189,tsugca,725,A,A,1.6
72190,72190,tsugca,725,A,A,2
72191,72191,tsugca,725,A,A,3.6
72192,72192,betule,725,A,D,7
72193,72193,nysssy,725,A,A,27.2
72194,72194,nysssy,725,A,A,16
72195,72195,acerru,725,A,A,18.7
72196,72196,acerru,725,A,D,36.8
72197,72197,tsugca,725,D,D,6.1
72198,72198,betule,725,A,A,8.9
72199,72199,tsugca,725,A,A,5.2
72200,72200,tsugca,725,A,A,27.1
72201,72201,tsugca,725,A,A,8.3
72202,72202,tsugca,725,A,D,14.7
72203,72203,acerru,725,A,A,18.9
72204,72204,tsugca,725,A,A,6.1
72205,72205,tsugca,725,A,A,24.2
72206,72206,tsugca,725,D,D,5.2
72207,72207,pinust,725,D,D,6.8
72208,72208,tsugca,725,A,A,20.2
72209,72209,kalmla,725,A,A,1.8
72210,72210,nysssy,725,A,A,10.6
72211,72211,kalmla,725,A,A,2
72212,72212,tsugca,725,A,A,29.3
72213,72213,tsugca,725,A,A,30.4
72214,72214,tsugca,725,A,D,12.7
72215,72215,betual,725,A,A,14.9
72216,72216,tsugca,725,A,A,20.7
72216,72217,tsugca,725,A,A,16.5
72218,72218,betupa,725,D,D,15.7
72219,72219,tsugca,725,A,A,21.6
72220,72220,acerru,725,D,D,12
