tag,stem.tag,sp,quadrat,status.initial,status.2016,dbh
70942,70942,tsugca,711,A,A,1.4
70943,70943,tsugca,711,A,A,2.6
70944,70944,tsugca,711,A,D,1.5
70945,70945,tsugca,711,A,A,2.6
70946,70946,tsugca,711,A,A,7.3
70947,70947,tsugca,711,A,A,41.6
70948,70948,tsugca,711,A,A,2.9
70949,70949,tsugca,711,A,A,1.1
70950,70950,tsugca,711,A,A,2.9
70951,70951,tsugca,711,A,A,5.4
70952,70952,betule,711,A,A,14.8
70953,70953,tsugca,711,A,A,2.3
70954,70954,tsugca,711,A,A,4.1
70955,70955,tsugca,711,A,A,4.1
70956,70956,tsugca,711,A,D,5.3
70957,70957,tsugca,711,A,A,3.4
70958,70958,tsugca,711,A,A,1.8
70959,70959,tsugca,711,A,A,32.2
70960,70960,tsugca,711,A,A,41.5
70961,70961,tsugca,711,A,A,19.5
70962,70962,tsugca,711,A,A,1.7
70963,70963,tsugca,711,A,A,1.1
70964,70964,tsugca,711,A,A,44
70965,70965,tsugca,711,D,D,13.9
70966,70966,tsugca,711,A,D,3.1
70967,70967,tsugca,711,A,D,1.8
70968,70968,tsugca,711,A,A,1.4
70969,70969,tsugca,711,A,A,1.4
70970,70970,tsugca,711,A,A,1.4
70971,70971,tsugca,711,A,A,1.5
70972,70972,tsugca,711,A,A,1.8
70973,70973,tsugca,711,A,A,38.1
70974,70974,tsugca,711,A,A,2.7
70975,70975,tsugca,711,A,A,1.2
70976,70976,tsugca,711,A,A,1.8
70977,70977,tsugca,711,A,A,2.6
70978,70978,tsugca,711,A,A,22.7
70979,70979,tsugca,711,A,D,1.3
70980,70980,tsugca,711,A,D,22.4
70981,70981,tsugca,711,A,A,22
70982,70982,tsugca,711,D,D,14
70983,70983,tsugca,711,A,A,19
70984,70984,tsugca,711,A,A,20.8
70985,70985,tsugca,711,A,A,1.1
70986,70986,tsugca,711,A,A,38.2
70987,70987,tsugca,712,A,D,3.8
70988,70988,tsugca,712,A,D,3.3
70989,70989,tsugca,712,A,A,2.2
70990,70990,tsugca,712,A,A,4.2
70991,70991,tsugca,712,A,D,5.7
70992,70992,tsugca,712,A,D,6.4
70993,70993,tsugca,712,A,O,1.1
70994,70994,tsugca,712,A,D,1.4
70995,70995,tsugca,712,A,A,2.9
70996,70996,tsugca,712,A,D,3.6
70997,70997,tsugca,712,A,A,1.7
70998,70998,tsugca,712,A,D,3.5
70999,70999,tsugca,712,A,D,4.1
71000,71000,acerru,712,A,A,19
71000,71001,acerru,712,D,D,8.2
71002,71002,tsugca,712,A,D,2.8
71003,71003,tsugca,712,A,D,3.3
71004,71004,tsugca,712,A,D,1.4
71005,71005,tsugca,712,A,A,1.5
71006,71006,acerru,712,A,A,32.8
71007,71007,tsugca,712,A,A,2.2
71008,71008,tsugca,712,A,A,4.5
71009,71009,tsugca,712,A,A,2.9
71010,71010,tsugca,712,A,A,3.6
71011,71011,tsugca,712,A,A,9.7
71012,71012,tsugca,712,A,A,1.1
71013,71013,tsugca,712,A,A,4
71014,71014,tsugca,712,A,A,1.3
71015,71015,tsugca,712,A,A,1.6
71016,71016,tsugca,712,A,D,3.8
71017,71017,tsugca,712,A,D,2.1
71018,71018,tsugca,712,A,D,2.7
71019,71019,tsugca,712,A,D,4.2
71020,71020,tsugca,712,A,A,40.2
71021,71021,tsugca,712,A,D,1.9
71022,71022,tsugca,712,A,D,3.7
71023,71023,tsugca,712,A,D,2.5
71024,71024,tsugca,712,A,A,2.3
71025,71025,tsugca,712,A,D,5.2
71026,71026,betule,712,A,A,17
71027,71027,tsugca,712,A,A,3.7
71028,71028,tsugca,712,A,A,6
71029,71029,tsugca,712,A,D,1.4
71029,71030,tsugca,712,A,D,1.1
71031,71031,tsugca,712,A,D,4.5
71032,71032,tsugca,712,A,D,3.4
71033,71033,tsugca,712,A,D,6.6
71034,71034,tsugca,712,A,D,5.1
71035,71035,tsugca,712,A,A,1.3
71036,71036,tsugca,712,A,A,3
71037,71037,tsugca,712,A,D,2.2
71038,71038,tsugca,712,A,D,2.8
71039,71039,tsugca,712,A,A,1.2
71040,71040,tsugca,712,A,A,1.9
71041,71041,tsugca,712,A,A,28.8
71042,71042,tsugca,712,A,D,3.2
71043,71043,tsugca,712,A,D,3.7
71044,71044,tsugca,712,A,A,2.2
71045,71045,tsugca,712,A,A,2.1
71046,71046,tsugca,712,A,D,1
71047,71047,tsugca,712,A,A,34.1
71048,71048,tsugca,712,A,A,3.8
71049,71049,tsugca,712,A,D,1.5
71050,71050,tsugca,712,A,A,2.7
71051,71051,tsugca,712,A,A,5.1
71052,71052,tsugca,712,A,A,1.5
